available_migs,bandwidth_allocation_sum,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_size_violation,compute_delay_ms,delay,epoch,is_warmup,kl_sum,max_bandwidth_share,mean_l1,mean_l2,min_bandwidth_share,penalty,physical_cluster_count,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,100000000.0,0.0,0.0,0.0,422.8183000232093,0.6310020831405199,1,True,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.9409373948070132,524288.0,5242880.0,1,,631.0020831405199,0.0265625,4.5633739829063416,321.779396650883,10,2
2,1.0,100000000.0,0.0,0.0,0.0,166.61549999844283,0.32639282541347303,1,True,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.74563997654185,524288.0,5242880.0,2,,326.392825413473,0.015625,4.725548505783081,159.77732541503016,10,2
2,1.0,100000000.0,0.0,0.0,0.0,160.88250005850568,0.31171937168877617,1,True,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7736738220616382,524288.0,5242880.0,3,,311.71937168877616,0.0203125,4.629234969615936,152.29197165066418,10,2
2,1.0,100000000.0,0.0,0.0,0.0,164.28379999706522,0.3093644870288643,2,True,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7801185967511854,524288.0,5242880.0,1,,309.36448702886435,0.03125,4.402549922466278,145.0806870317991,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.37900001881644,0.347649682705165,2,True,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.756268405187696,524288.0,5242880.0,2,,347.649682705165,0.0359375,4.471251666545868,190.76928267801657,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.54049996798858,0.30395031240448145,2,True,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7697892924194907,524288.0,5242880.0,3,,303.95031240448145,0.0265625,4.48807418346405,145.70227045984032,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.05470006307587,0.3344580727806777,3,True,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7926653896270921,524288.0,5242880.0,1,,334.4580727806777,0.03125,4.4488964676856995,177.47037280960905,10,2
2,1.0,100000000.0,0.0,0.0,0.0,161.5493999561295,0.35950630327799254,3,True,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7621967154741098,524288.0,5242880.0,2,,359.5063032779926,0.0296875,4.512167274951935,197.95690332186305,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.9250999968499,0.33347800081058,3,True,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.78455313662254,524288.0,5242880.0,3,,333.47800081058,0.015625,4.426979839801788,176.2236007295788,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.82199996849522,0.44878699320865495,4,True,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.8498298498410808,524288.0,5242880.0,1,,448.78699320865496,0.0171875,4.425805568695068,289.96499324015974,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.82949996739626,0.43480799857198166,4,True,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7998475631211044,524288.0,5242880.0,2,,434.80799857198167,0.0140625,4.4965656995773315,275.9784986045854,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.65630004554987,0.2942309300859015,4,True,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7649296012602007,524288.0,5242880.0,3,,294.2309300859015,0.028125,4.507498204708099,137.17103003072774,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.24720000475645,0.3326741412495576,5,True,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.791773423861532,524288.0,5242880.0,1,,332.6741412495576,0.0265625,4.3663652539253235,173.47841231144193,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.11309997318313,0.3762205599244781,5,True,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7705538437973526,524288.0,5242880.0,2,,376.2205599244781,0.0265625,4.458893120288849,220.27455991097764,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.04710005270317,0.30927545285073144,5,True,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7724518626426158,524288.0,5242880.0,3,,309.2754528507314,0.03125,4.4076051115989685,151.6731529146157,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.8447999674827,0.3643649724774174,6,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.807618839475462,524288.0,5242880.0,1,,364.3649724774174,0.0234375,4.379988789558411,207.61537251492211,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.65929999947548,0.29950347479135503,6,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.732195301230791,524288.0,5242880.0,2,,299.503474791355,0.0390625,4.409834206104279,139.84417479187954,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.07380008138716,0.3113617767422089,6,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7734950245883545,524288.0,5242880.0,3,,311.36177674220886,0.0296875,4.450520157814026,154.66177680814653,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.97609997773543,0.36422249737162765,7,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.8075476019225671,524288.0,5242880.0,1,,364.22249737162764,0.0421875,4.3707738518714905,205.2463973938922,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.54549988964573,0.371362387369285,7,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7681247575197561,524288.0,5242880.0,2,,371.362387369285,0.034375,4.389139533042908,211.8168874796393,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.7522998927161,0.39528473994301894,7,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.8154565061887595,524288.0,5242880.0,3,,395.28473994301896,0.028125,4.427950501441956,238.28193991517912,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.54070002771914,0.32069733147017326,8,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7857850189718399,524288.0,5242880.0,1,,320.69733147017325,0.034375,4.401899099349976,161.1566314424541,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.57440005149692,0.2932265814395189,8,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.729056854554873,524288.0,5242880.0,2,,293.2265814395189,0.034375,4.3799729347229,135.90155747936603,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.94770010001957,0.38664096561306693,8,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.8111346190237835,524288.0,5242880.0,3,,386.64096561306695,0.053125,4.384004056453705,226.69326551304732,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.5242999610491,0.41018642079425083,9,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.8305295636338788,524288.0,5242880.0,1,,410.1864207942508,0.0359375,4.361002743244171,250.66212083320173,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.85670004738495,0.35090331751678516,9,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7578952225935061,524288.0,5242880.0,2,,350.90331751678514,0.0375,4.382952094078064,191.0466174694002,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.2379999347031,0.3286891430377106,9,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7821587077361053,524288.0,5242880.0,3,,328.68914303771055,0.04375,4.354995489120483,169.45114310300747,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.66679999837652,0.2975490418173636,10,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7742108741454351,524288.0,5242880.0,1,0.01171875,297.54904181736356,0.0265625,4.340328395366669,140.9574418355974,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.36269995290786,0.2893975016586865,10,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7271423146644568,524288.0,5242880.0,2,0.01171875,289.3975016586865,0.0328125,4.371632814407349,130.03480170577868,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.21890002209693,0.4003334201576026,10,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.8179808462960513,524288.0,5242880.0,3,0.01171875,400.3334201576026,0.040625,4.268760323524475,243.14522011501955,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.03649997198954,0.41058995559386996,11,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.8307313310336882,524288.0,5242880.0,1,,410.58995559386995,0.025,4.524131715297699,251.55345562188043,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.2989000491798,0.37412169593715616,11,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7695044118036916,524288.0,5242880.0,2,,374.1216959371562,0.021875,4.583674967288971,217.39769582034597,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.11000000778586,0.28106030989748465,11,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7583442911659923,524288.0,5242880.0,3,,281.0603098974847,0.01875,4.557388186454773,125.02084809968662,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.5878999903798,0.38088413488935974,12,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.8158784206814331,524288.0,5242880.0,1,,380.88413488935976,0.03125,4.417066216468811,222.29623489897992,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.82900002179667,0.3293027213954789,12,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.747094924532853,524288.0,5242880.0,2,,329.3027213954789,0.0171875,4.430466413497925,170.4737213736822,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.8468999727629,0.27748376622000936,12,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7565560193272547,524288.0,5242880.0,3,,277.4837662200094,0.025,4.395244121551514,117.63686624724647,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.79250003490597,0.31428202192944166,13,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7825773642014742,524288.0,5242880.0,1,,314.28202192944167,0.0109375,4.349995911121368,157.9488218779924,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.3601000495255,0.3457775541423191,13,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7553323409062731,524288.0,5242880.0,2,,345.7775541423191,0.0203125,4.494211971759796,186.41745409279358,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.00970005895942,0.4924698560722754,13,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.8640490642533877,524288.0,5242880.0,3,,492.4698560722754,0.01875,4.427421033382416,333.46015601331595,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.3284000409767,0.31442760892237565,14,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7826501576979411,524288.0,5242880.0,1,,314.42760892237567,0.01875,4.409136056900024,157.28090896296345,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.05810002004728,0.2849252558340284,14,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7249061917521278,524288.0,5242880.0,2,,284.9252558340284,0.0359375,4.506754219532013,128.09055580561633,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.92750007333234,0.3956043062006863,14,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.8156162893175931,524288.0,5242880.0,3,,395.6043062006863,0.0359375,4.390677750110626,236.676806127354,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.00059998966753,0.3369607575760421,15,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7939167320247743,524288.0,5242880.0,1,,336.9607575760421,0.021875,4.323917984962463,179.63595759926483,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.43900001002476,0.37152429735684056,15,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7682057125135338,524288.0,5242880.0,2,,371.5242973568406,0.021875,4.458396077156067,214.24769733962825,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.0804000152275,0.3392291562336129,15,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7874287143340565,524288.0,5242880.0,3,,339.22915623361285,0.015625,4.439298212528229,180.1487562183854,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.82860000804067,0.312939846495005,16,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7819062764842558,524288.0,5242880.0,1,,312.939846495005,0.0421875,4.292368829250336,153.11124648696435,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.2589999199845,0.3340795204848304,16,False,1.164887127670227,0.1,3.0,4.0,0.1,0.0,2,-0.7494833240775287,524288.0,5242880.0,2,,334.0795204848304,0.028125,4.4308701157569885,174.82052056484594,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.22089998982847,0.3575208562646817,16,False,1.2356282724345,0.1,3.0,4.0,0.1,0.0,2,-0.7965745643495908,524288.0,5242880.0,3,,357.5208562646817,0.0359375,4.374763309955597,199.29995627485326,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.20910000568256,0.31228289497672634,17,False,1.2508727064735066,0.1,3.0,4.0,0.1,0.0,2,-0.7815778007251164,524288.0,5242880.0,1,,312.28289497672637,0.034375,4.3031086921691895,153.0737949710438,10,2
