compute_delay_ms_ci95,compute_delay_ms_mean,compute_delay_ms_std,epoch,is_warmup,kl_sum_ci95,kl_sum_mean,kl_sum_std,max_bandwidth_share_ci95,max_bandwidth_share_mean,max_bandwidth_share_std,mean_l1_ci95,mean_l1_mean,mean_l1_std,mean_l2_ci95,mean_l2_mean,mean_l2_std,min_bandwidth_share_ci95,min_bandwidth_share_mean,min_bandwidth_share_std,reward_ci95,reward_mean,reward_std,seed_count,smashed_data_bytes_total_ci95,smashed_data_bytes_total_mean,smashed_data_bytes_total_std,test_accuracy_ci95,test_accuracy_mean,test_accuracy_std,total_delay_ms_ci95,total_delay_ms_mean,total_delay_ms_std,train_accuracy_ci95,train_accuracy_mean,train_accuracy_std,train_loss_ci95,train_loss_mean,train_loss_std,tx_delay_ms_ci95,tx_delay_ms_mean,tx_delay_ms_std
25.115675489802175,246.2518333599696,22.194707150382506,1,True,0.12713292473874582,1.5482145647605747,0.1123472882460908,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.061031181125798244,-0.9522993159781589,0.05393321763052105,3,0.0,2621440.0,0.0,,,,9.893875493725131,356.3840671957432,8.74321175453701,0.0012268889756787164,0.020486111111111108,0.0010842010413886088,0.02447454410290965,4.621865999698639,0.021628139733839164,12.63563536422822,112.60977147031089,11.166103284059872
14.297879274880811,175.88756666130698,12.635027216622255,2,True,0.05377582632118208,1.1826994539221942,0.04752166500371791,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.033976794776676096,-0.7244004744347462,0.030025272873236655,3,0.0,2621440.0,0.0,,,,17.815340311318113,266.101494947298,15.743405394557609,0.004501451883408506,0.028993055555555553,0.003977930290760279,0.019401079592885676,4.458449686898125,0.017144722232941684,20.56609635644028,91.59579494575316,18.17424683811823
35.86117433335428,209.38140001898216,31.69049794104825,3,True,0.1360222400402878,1.366160679465773,0.12020277076995313,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.08213086521105663,-0.8267856165039246,0.07257899561997001,3,0.0,2621440.0,0.0,,,,31.207870761228634,287.41055354207634,27.578376405352657,0.0038347358042336603,0.028993055555555553,0.0033887536972123464,0.02640082044796763,4.466854287518395,0.023330388968052687,11.435369190727842,91.44568446488243,10.105428796759396
26.790959062103983,212.8441555283239,23.67515422401119,4,True,0.07997964260476813,1.3002652450541918,0.07067796151156062,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.059598892549549996,-0.7972872530944022,0.05266750508707082,3,0.0,2621440.0,0.0,,,,45.477330791166175,294.30926113461265,40.18828955250834,0.0018005807533634033,0.02621527777777778,0.0015911721163041122,0.00699772032415694,4.43364558617274,0.006183881193161823,18.760428168742227,98.13664220873677,16.5785789591877
6.242743209357349,239.71395554771232,5.516708376128838,5,True,0.15141929479258645,1.4645157715806116,0.1338091386872496,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.08252498642894944,-0.8979595449987618,0.07292728030044515,3,0.0,2621440.0,0.0,,,,20.288201632216712,331.4033184169118,17.928671439388353,0.005282531667477369,0.029861111111111113,0.004668170020746094,0.02850837712059608,4.4258289893468215,0.025192835517452317,19.57177546227724,91.6893628691995,17.295566068874503
14.201388825585106,193.46306667042276,12.54975866528281,6,False,0.00932683680561459,1.246240798570663,0.00824212001083055,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.03351124942197068,-0.775779834969135,0.02961387072651346,3,0.0,2621440.0,0.0,,,,59.31894598390462,305.3188713676073,52.4201164773248,0.0041256487985842005,0.030208333333333334,0.003645833333333333,0.006838104978190996,4.429790140522851,0.006042829209039017,44.26054213390345,125.46776024085102,39.11301415635907
18.581748804165173,211.25442224891026,16.420680113416484,7,False,0.07864402949267853,1.3967013532072314,0.06949768101697165,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.0319661943484718,-0.8618389862774851,0.028248506498048095,3,0.0,2621440.0,0.0,,,,57.202096961812764,326.9766193477387,50.54945828435766,0.004423611111111112,0.030034722222222227,0.0039091424476380915,0.0027803318663530458,4.3964647412300115,0.0024569775787889165,54.30903599942668,128.84808805782833,47.99286207198684
1.475518945106237,225.48865555371674,1.3039151941094058,8,False,0.0711125720581853,1.4574244674300878,0.06284213666412236,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.033472326371682,-0.8882508359501623,0.029579474450653488,3,0.0,2621440.0,0.0,,,,5.450636997187382,319.0772044702369,4.81672459833837,0.006492086231865324,0.035243055555555555,0.005737052653423023,0.022466552724458366,4.35743392308553,0.019853678974330036,6.6239885683083,93.95280447113201,5.853614667890511
50.22504745779199,219.9997110939067,44.383843882374386,9,False,0.35579865469846034,1.471998328169029,0.3144190546950961,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.20727829014339774,-0.8917799676901369,0.18317169889508578,3,0.0,2621440.0,0.0,,,,65.20510987822493,311.5616072112446,57.62171592969228,0.0058047040510580995,0.042187499999999996,0.005129613438435467,0.024746985276557654,4.319192540645599,0.021868895833243265,7.7401147627948195,104.29984200470291,6.839934706925794
32.513297085672576,206.0243111013228,28.73198085406429,10,False,0.16425391007561246,1.3306073702748134,0.14515108040449506,0.0,0.10000000000000002,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.10000000000000002,0.0,0.0906235471768517,-0.8092477038543424,0.08008397350633788,3,0.0,2621440.0,0.0,0.0035362703987864563,0.01171875,0.0031249999999999984,18.369691386613166,287.8880374338713,16.23328510253795,0.0063569134925083376,0.049305555555555554,0.005617600585890081,0.0738672774932191,4.307759385638767,0.06527646818114516,14.568299925530331,96.26026607273282,12.87399778108185
