bandwidth_cv_ci95,bandwidth_cv_mean,bandwidth_cv_std,bandwidth_floor_hit_rate_ci95,bandwidth_floor_hit_rate_mean,bandwidth_floor_hit_rate_std,bandwidth_gini_ci95,bandwidth_gini_mean,bandwidth_gini_std,cluster_load_cv_ci95,cluster_load_cv_mean,cluster_load_cv_std,cluster_size_std_ci95,cluster_size_std_mean,cluster_size_std_std,compute_delay_ms_ci95,compute_delay_ms_mean,compute_delay_ms_std,delay_normalized_ci95,delay_normalized_mean,delay_normalized_std,epoch,is_warmup,kl_normalized_ci95,kl_normalized_mean,kl_normalized_std,kl_sum_ci95,kl_sum_mean,kl_sum_std,max_bandwidth_share_ci95,max_bandwidth_share_mean,max_bandwidth_share_std,max_cluster_size_ci95,max_cluster_size_mean,max_cluster_size_std,mean_l1_ci95,mean_l1_mean,mean_l1_std,mean_l2_ci95,mean_l2_mean,mean_l2_std,min_bandwidth_share_ci95,min_bandwidth_share_mean,min_bandwidth_share_std,physical_cluster_count_ci95,physical_cluster_count_mean,physical_cluster_count_std,ppo_approx_kl_ci95,ppo_approx_kl_mean,ppo_approx_kl_std,ppo_clip_fraction_ci95,ppo_clip_fraction_mean,ppo_clip_fraction_std,ppo_entropy_ci95,ppo_entropy_mean,ppo_entropy_std,ppo_grad_norm_ci95,ppo_grad_norm_mean,ppo_grad_norm_std,ppo_policy_loss_ci95,ppo_policy_loss_mean,ppo_policy_loss_std,ppo_value_loss_ci95,ppo_value_loss_mean,ppo_value_loss_std,reward_ci95,reward_mean,reward_std,seed_count,smashed_data_bytes_total_ci95,smashed_data_bytes_total_mean,smashed_data_bytes_total_std,test_accuracy_ci95,test_accuracy_mean,test_accuracy_std,total_delay_ms_ci95,total_delay_ms_mean,total_delay_ms_std,train_accuracy_ci95,train_accuracy_mean,train_accuracy_std,train_loss_ci95,train_loss_mean,train_loss_std,tx_delay_ms_ci95,tx_delay_ms_mean,tx_delay_ms_std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.05278480283007,222.6412888849154,38.9294191292856,0.02304257207248867,0.4339326293899579,0.020362706921743905,1,True,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.012343011650492688,-0.280259522119954,0.010907511886259144,3,0.0,5242880.0,0.0,,,,23.04257207248863,433.93262938995787,20.362706921743868,0.0020698289165598117,0.021006944444444443,0.001829106554314712,0.02701805368541931,4.624210404025184,0.023875837604474384,25.27127072845644,225.21954294062178,22.332206568119744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1485739902086145,161.71451112151973,1.0149941363742032,0.040715394367372114,0.3430184945511902,0.03598016923188377,2,True,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.01903571039292384,-0.23480245470057018,0.016821845693219904,3,0.0,5242880.0,0.0,,,,40.71539436737212,343.01849455119026,35.98016923188378,0.0017013888888888875,0.03159722222222222,0.0015035163260146492,0.014093440508487761,4.468184146616195,0.012454364803137833,41.13219271288056,183.1915898915063,36.34849367623646
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10022997461112687,161.43766669039098,0.08857316758561753,0.022329718918472054,0.3419917355955397,0.019732759023227325,3,True,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.01155123581842416,-0.2342890752227449,0.01020782006516332,3,0.0,5242880.0,0.0,,,,22.32971891847205,341.99173559553964,19.73275902322732,0.003924274771797702,0.025868055555555557,0.0034678792283746847,0.01831568966183344,4.471775929133098,0.016185563811203847,22.870738381455684,182.89136892976487,20.210857593518792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38410248163908634,161.25608892050676,0.3394311293429537,0.037850453261531254,0.3562230733446776,0.03344842251963431,4,True,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.021629556678626427,-0.2414047440973139,0.019114026077842707,3,0.0,5242880.0,0.0,,,,37.85045326153122,356.22307334467763,33.44842251963428,0.0032460431159326607,0.022743055555555555,0.00286852632671151,0.03308418224376619,4.44378873374727,0.02923647172095466,37.52085633748445,196.27328441747355,33.1571579183754
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3884205316497973,161.47847780181715,0.3432469875103898,0.03921669708065718,0.343311573402265,0.03465577135139607,5,True,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.019581435678818468,-0.23494899412610756,0.017304102796354873,3,0.0,5242880.0,0.0,,,,39.216697080657205,343.3115734022649,34.65577135139609,0.004727289968632224,0.02534722222222222,0.0041775032692763754,0.05180366369682462,4.4412541257010565,0.04577886609240388,39.14355092455448,183.378725738399,34.59113213774901
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823980696722868,162.01396666130879,0.9565145156565704,0.08759511596060311,0.4107864208998156,0.07740775068298575,6,False,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.04132647908825212,-0.2686864178748829,0.036520184427951734,3,0.0,5242880.0,0.0,,,,87.59511596060314,410.7864208998156,77.40775068298578,0.0027222222222222244,0.030034722222222223,0.0024056261216234423,0.009990879696720708,4.417390743891398,0.00882893430970847,88.5210842678069,250.93552048170204,78.22602831271814
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24887422678259838,161.5577444447101,0.21993000279687727,0.10788730912433837,0.4178473650306829,0.09533994943634866,7,False,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.05298140481475429,-0.2722168899403165,0.046819635201800394,3,0.0,5242880.0,0.0,,,,107.88730912433829,417.84736503068297,95.33994943634859,0.004462701217927753,0.030381944444444444,0.003943686351250191,0.02820277112577954,4.401057461897532,0.024922771685758502,108.61807199885337,257.69617611565667,95.98572414397368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7434668782597618,161.6274666868978,0.6570012280053736,0.01392198113742612,0.3490240671744151,0.012302846261243668,8,False,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.0042449519882686425,-0.23780524101218256,0.003751261489475415,3,0.0,5242880.0,0.0,,,,13.921981137426144,349.024067174415,12.302846261243689,0.0027008711300451015,0.04010416666666666,0.0023867581744561653,0.01762484422045402,4.381128185325198,0.015575064114955637,13.2479771366166,187.90560894226402,11.707229335781022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853708984112476,161.21994444660632,0.4289219676345066,0.015408125259995636,0.36871983958762633,0.013616150918213193,9,False,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.007514455291781283,-0.24765312721878818,0.006640519569678568,3,0.0,5242880.0,0.0,,,,15.40812525999565,368.7198395876262,13.616150918213206,0.0035362703987864533,0.0390625,0.003124999999999996,0.02540479043311789,4.35305776198705,0.02245019784989792,15.480229525589639,208.59968400940582,13.679869413851588
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31097437227033403,161.47202223591094,0.2748078635837024,0.028044892671683107,0.35198857658826294,0.024783254591924087,10,False,0.005452620181360998,0.12658641484995017,0.004818477136986059,0.050220487789441284,1.1659039672362213,0.0443798145062269,0.0,0.10000000000000002,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.10000000000000002,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.01223627534048563,-0.23928749571910654,0.010813189074042487,3,0.0,5242880.0,0.0,0.0018403334635180776,0.009895833333333333,0.001626301562082916,28.04489267168315,351.98857658826296,24.783254591924127,0.00960041754171706,0.04305555555555555,0.008483883140882373,0.01817950164198507,4.312990268071492,0.016065214540918353,29.136599851060662,192.52053214546564,25.7479955621637
