algorithm,compute_delay_ms_ci95,compute_delay_ms_mean,compute_delay_ms_std,epoch,is_warmup,kl_sum_ci95,kl_sum_mean,kl_sum_std,max_bandwidth_share_ci95,max_bandwidth_share_mean,max_bandwidth_share_std,mean_l1_ci95,mean_l1_mean,mean_l1_std,mean_l2_ci95,mean_l2_mean,mean_l2_std,min_bandwidth_share_ci95,min_bandwidth_share_mean,min_bandwidth_share_std,reward_ci95,reward_mean,reward_std,seed_count,smashed_data_bytes_total_ci95,smashed_data_bytes_total_mean,smashed_data_bytes_total_std,test_accuracy_ci95,test_accuracy_mean,test_accuracy_std,total_delay_ms_ci95,total_delay_ms_mean,total_delay_ms_std,train_accuracy_ci95,train_accuracy_mean,train_accuracy_std,train_loss_ci95,train_loss_mean,train_loss_std,tx_delay_ms_ci95,tx_delay_ms_mean,tx_delay_ms_std
MAT-RL,49.25058763016532,261.4507222056596,43.522714325545714,1,True,0.26402720984454775,1.4344465900046697,0.23332068470990122,0.11371477356694648,0.4706975354088678,0.10048967621894983,1.0482782591668949,2.8777777777777778,0.926362859870876,0.6109433305032631,5.122222222222222,0.5398902494780593,0.002036265383736079,0.011125832899577089,0.00179944648077787,0.5852624965447255,-1.8410253346196879,0.5171961121326883,3,1953492.050420812,5494101.333333333,1726299.7364850764,,,,1104.6168209513871,2247.604028736326,976.1492126443959,0.005282531667477371,0.02013888888888889,0.004668170020746096,0.0179095964632046,4.619438321060605,0.015826699498635834,1145.4692659941713,2029.31571765475,1012.250493474762
MAT-RL,27.845256588412184,239.29782222128577,24.606836306592818,2,True,0.2274805088012876,1.5249734929900314,0.20102438723237206,0.1341151661806377,0.6362010174327426,0.1185174907604121,0.5806953685979518,3.033333333333333,0.5131601439446885,0.4908461829419093,4.7444444444444445,0.433760473243181,0.0039022355964436627,0.012067138734791013,0.0034484032225225846,0.23205677150387916,-1.6037186595709896,0.20506842779853077,3,1319400.137038863,4926122.666666667,1165953.0984003316,,,,465.1278141547375,1682.4638000749155,411.0331663925815,0.005932945784263696,0.027256944444444445,0.005242940580049133,0.01759378317691966,4.457734817928738,0.015547615489681338,450.00697590837274,1508.264011204936,397.6708908335333
MAT-RL,51.3658471498263,253.65276669617742,45.39196787618171,3,True,0.2957454241752036,1.4527571417397123,0.26135005141707224,0.11393022930822246,0.5628597074084812,0.10068007432643576,1.0378202227817757,3.3666666666666667,0.9171210994798401,0.6434587097173454,5.166666666666667,0.5686240703077325,0.001899693812492658,0.011069853997064961,0.001678758266357912,0.2790977915991336,-1.5495429784239596,0.24663854863773957,3,2389744.761074943,5228316.444444444,2111815.9914813004,,,,310.5754554887952,1646.3287790970671,274.45534106655083,0.004715027198381945,0.0234375,0.0041666666666666675,0.02181563389473922,4.452049082517624,0.019278462400515325,213.89270716444065,1423.762639628835,189.01685519248102
MAT-RL,11.252678839720787,216.66220001255473,9.943985444720207,4,True,0.042929714201406156,1.2586007660606346,0.03793696232206461,0.03570646629730677,0.5964629583888583,0.03155378254371484,0.8284147586479123,2.8555555555555556,0.7320696182235168,0.11523716821525776,4.888888888888889,0.10183501544346314,0.0008527091952125601,0.010476055555045605,0.0007535385970353684,0.12912464141557647,-1.670369489062973,0.11410736706167904,3,1305758.0360994225,5858190.222222221,1153897.5820997735,,,,248.50290272017062,2082.138160325168,219.60186394881717,0.004449709338197769,0.029166666666666664,0.003932205435036847,0.03293509117562452,4.451947727468279,0.029104720034742376,254.5124353871598,1923.0835051479364,224.91248431053663
MAT-RL,50.14732049918068,217.18325554522582,44.31515661633735,5,True,0.11370887033285794,1.1350243772767532,0.10048445953457721,0.10502397869916197,0.560799111922582,0.09280962608162248,0.1644186165903405,2.9000000000000004,0.14529663145135552,0.4404282988407449,4.611111111111111,0.38920621973637703,0.0008245913298195974,0.010541999402145544,0.0007286908564940449,0.18241780844318334,-1.6777212831809154,0.16120250634130637,3,914763.252544035,6276892.444444444,808375.7297465452,,,,418.8118388201834,2220.418170665587,370.10376716729854,0.002357513599190973,0.03125,0.0020833333333333346,0.014064741741919568,4.441279820601145,0.01242900372058137,415.9529899958076,2025.7581484445989,367.5774042004733
MAT-RL,20.168676366199147,244.97967779300075,17.823047034525796,6,False,0.17220130058758223,1.4432120697048247,0.15217418456486367,0.10491245030981565,0.624659342898263,0.09271106851180913,0.6416133984623604,2.111111111111111,0.5669933698743588,0.9425023692539893,4.611111111111111,0.8328887703071186,0.0006278536265856415,0.010378937443925276,0.0005548338678381166,0.5879673852727911,-1.9238848691543418,0.519586420656071,3,2009061.6816525955,6473500.444444444,1775406.5857969716,,,,1020.3023265848511,2404.5576199681254,901.6405452682121,0.0024537779513574363,0.02673611111111111,0.0021684020827772207,0.00576274259703178,4.4047257569101115,0.005092532127041053,1013.6163049435565,2188.4236532754016,895.7321120114634
MAT-RL,30.146371089586903,233.53173334099765,26.640329791321452,7,False,0.2677949410157731,1.237519913104326,0.2366502264536886,0.07818260968656968,0.5886266132195791,0.06908992461503333,0.6862592102869753,3.9666666666666663,0.606446846622008,0.5240260100980286,5.2,0.46308146631499336,0.0005968377432495588,0.010339818894863129,0.0005274251506035636,0.6438230451670606,-1.635828681178235,0.5689460333229903,3,1955459.2285331576,3597198.222222222,1728038.1305861578,,,,1554.9584142223102,2034.1374155175708,1374.1158046376395,0.00891891359280523,0.0359375,0.00788163851584456,0.020208086883729257,4.418227830198076,0.01785787408489046,1499.1258885038123,1837.1384710632622,1324.776635627775
MAT-RL,10.601037783034226,228.64092219646815,9.368130639373781,8,False,0.2233254915701161,1.041987570472347,0.1973526010330286,0.202992202584698,0.5367171830601162,0.17938408592704658,1.2647996376726196,2.6888888888888887,1.1177026703284103,0.8318426964306039,4.811111111111111,0.7350988847565816,0.001447700700193448,0.01079751830548048,0.001279332228004128,0.7249419119192031,-1.555752551439169,0.6406307265205008,3,3674032.271696006,4365425.777777777,3246740.083278155,,,,1635.4718576496346,2069.5174775614396,1445.2654856113375,0.009002903766817012,0.03715277777777778,0.007955860581520558,0.012101570106900023,4.3665687666998965,0.01069415014107529,1602.0458866931829,1871.9831981363798,1415.726975412921
MAT-RL,14.375495907590087,205.34684445010498,12.703616987726786,9,False,0.010980287325585248,1.3098388874281774,0.009703273229397059,0.14952361590840793,0.5599226554234823,0.1321339284106003,0.2273666750829408,2.3444444444444446,0.20092379244472355,0.09492713254821933,4.988888888888888,0.08388704928078629,0.0019050244597797444,0.011134226496020952,0.0016834689561224339,0.4793259541362286,-1.768985737647063,0.423580054056315,3,2620830.205594897,6109411.555555555,2316026.058215075,,,,967.5667030155606,2228.1325607541135,855.0381068034989,0.008342012262978227,0.03888888888888889,0.007371831161653529,0.030982207514688456,4.3488738205697794,0.027378957931674837,978.0896429899597,2032.2401703217827,864.3372224568951
MAT-RL,12.52352002881548,208.90622223184133,11.067027030364725,10,False,0.09704535187924518,1.324196414706141,0.08575891841492474,0.12950478740091992,0.5558580160140991,0.11444330183765261,0.5674772416168656,3.1888888888888887,0.5014792931731893,0.2640415231093885,5.233333333333333,0.233333333333333,0.0011200538333335417,0.010834435207976235,0.0009897908910948864,0.6991831951956612,-1.863397051499196,0.617867764223078,3,1573385.8550771421,4871509.333333333,1390400.1229101084,0.0035729166666666674,0.008333333333333333,0.0031573842846307665,1304.0861769175574,2402.597663043062,1152.42016115789,0.008383549510319315,0.043923611111111115,0.0074085376018582835,0.033026192744007615,4.314794790744782,0.029185226435297848,1325.5921771309497,2271.1667519682032,1171.4250004625753
