available_migs,bandwidth_allocation_sum,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_size_violation,compute_delay_ms,delay,epoch,is_warmup,kl_sum,max_bandwidth_share,mean_l1,mean_l2,min_bandwidth_share,penalty,physical_cluster_count,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,100000000.0,0.0,8.195638656616211e-08,0.0,248.24170005740598,2.6209342633113297,1,True,1.4906858237123026,0.6345909833908081,3.4,5.4,0.010042905807495117,8.195638656616211e-08,2,-2.0558101254682026,498073.6,4980736.0,1,,2620.9342633113297,0.028125,4.587368988990784,2414.8426634231614,10,2
2,1.0,100000000.0,0.0,6.51925802230835e-09,0.0,229.39569992013276,3.232172147069971,1,True,1.2399082181696786,0.3761736750602722,1.7,4.1,0.010001599788665771,6.51925802230835e-09,2,-2.236040189139083,1048576.0,10485760.0,2,,3232.1721470699713,0.01875,4.664200210571289,3141.1212471331537,10,2
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,228.83019997971132,3.6119946923184614,1,True,1.1873657082290694,0.6264379024505615,2.4,4.0,0.010055124759674072,0.0,2,-2.3996802002737656,681574.4,6815744.0,3,,3611.9946923184616,0.0296875,4.559751200675964,3519.7162922898715,10,2
2,1.0,100000000.0,0.0,3.725290298461914e-09,0.0,187.4857998918742,2.185318623559252,2,True,1.3915229180063657,0.742621660232544,3.4,4.4,0.01000356674194336,3.725290298461914e-09,2,-1.788420774508099,419430.4,4194304.0,1,,2185.318623559252,0.028125,4.451383805274963,1997.8328236673779,10,2
2,1.0,100000000.0,0.0,8.381903171539307e-09,0.0,226.23959998600185,0.9711850690115349,2,True,1.2750640937557072,0.7498099207878113,4.0,5.7,0.01002037525177002,8.381903171539307e-09,2,-1.1231245897655242,262144.0,2621440.0,2,,971.1850690115349,0.0203125,4.521423161029816,744.945469025533,10,2
2,1.0,100000000.0,0.0,5.21540641784668e-08,0.0,226.27560002729297,2.6888909752073253,2,True,1.25259672121255,0.8205335736274719,3.4,5.4,0.01000346802175045,5.21540641784668e-08,2,-1.9707439003640017,498073.6,4980736.0,3,,2688.8909752073255,0.03125,4.441563165187835,2599.6352752030384,10,2
2,1.0,100000000.0,0.0,2.2351741790771484e-08,0.0,291.0352001199499,2.984133835870196,3,True,2.127558012528432,0.5716466903686523,2.0,5.0,0.010012984275817871,2.2351741790771484e-08,2,-2.555845946551056,1048576.0,10485760.0,1,,2984.133835870196,0.01875,4.411369621753693,2693.098635750246,10,2
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,329.1634999914095,0.6792654868360111,3,True,0.23262930172816065,0.4331534802913666,5.0,6.0,0.010002315044403076,0.0,1,-0.45594739428208586,131072.0,1310720.0,2,,679.2654868360111,0.01875,4.49393892288208,350.10198684460164,10,1
2,1.0,100000000.0,0.0,5.774199962615967e-08,0.0,262.55959999980405,1.6260860023156276,3,True,1.6248645830697528,0.7067881226539612,3.0,4.0,0.010006487369537354,5.774199962615967e-08,2,-1.62547535043469,524288.0,5242880.0,3,,1626.0860023156276,0.0328125,4.404666876792907,1363.5264023158236,10,2
2,1.0,100000000.0,0.0,0.0,0.0,226.9798000343144,3.9582795866413276,4,True,1.414110605450928,0.728196918964386,2.0,4.0,0.010003983974456787,0.0,2,-2.686195096046128,1048576.0,10485760.0,1,,3958.2795866413276,0.0390625,4.4406494975090025,3731.299786607013,10,2
2,1.0,100000000.0,0.0,3.91155481338501e-08,0.0,189.96049999259412,2.278034640457203,4,True,1.0747193311106313,0.4874210059642792,0.4,4.4,0.010026991367340088,3.91155481338501e-08,2,-1.6763770248994654,448921.6,4489216.0,2,,2278.0346404572033,0.0390625,4.531677961349487,2157.2042404834197,10,2
2,1.0,100000000.0,0.0,0.0,0.0,262.7999000251293,0.5479259388800508,4,True,1.3924119055332518,0.6797745227813721,5.0,6.0,0.010028362274169922,0.0,2,-0.9701689222066513,131072.0,1310720.0,3,,547.9259388800508,0.021875,4.415947771072387,327.0219423587052,10,2
2,1.0,100000000.0,0.0,2.7939677238464355e-08,0.0,188.25269996887073,2.5094231357942345,5,True,1.2294470861629998,0.7356081008911133,2.4,4.4,0.01000833511352539,2.7939677238464355e-08,2,-1.8694351389182944,838860.8,8388608.0,1,,2509.4231357942344,0.034375,4.440702891349792,2321.1704358253637,10,2
2,1.0,100000000.0,0.0,0.0,0.0,159.4411000260152,2.4027633359554748,5,True,1.054030011123141,0.6687002182006836,3.5,5.0,0.010007262229919434,0.0,2,-1.728396673539308,589824.0,5898240.0,2,,2402.7633359554748,0.0296875,4.5139999985694885,2246.0681359415466,10,2
2,1.0,100000000.0,0.0,0.0,0.0,190.63659996027127,2.4892748423913456,5,True,1.2366190229957992,0.44766613841056824,2.6,4.2,0.010088324546813965,0.0,2,-1.8629469326935724,734003.2,7340032.0,3,,2489.2748423913454,0.0296875,4.404129934310913,2369.1125424407383,10,2
2,1.0,100000000.0,0.0,4.6566128730773926e-08,0.0,189.4050000119023,3.188997946197565,6,False,1.3560370202811947,0.6973094344139099,2.6,4.2,0.010012960061430931,4.6566128730773926e-08,2,-2.2725175298055085,681574.4,6815744.0,1,,3188.997946197565,0.0203125,4.345984673500061,2999.5929461856626,10,2
