available_migs,bandwidth_allocation_sum,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,penalty,physical_cluster_count,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.4,2.0,0.0,492.7857001312077,0.8058284996204377,0.8058284996204377,1,True,0.15191316148303477,1.3991719242417324,0.1,7,1.6,2.6,0.1,2,0.0,2,-0.47887083055173624,717619.2,7176192.0,1,,805.8284996204377,0.028125,4.548922383785248,416.36756623462117,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,295.3605998773128,0.6149152507073732,0.6149152507073732,1,True,0.1285778259583207,1.1842455413648485,0.1,5,1.6,2.6,0.1,2,0.0,2,-0.37174653833284693,565248.0,5652480.0,2,,614.9152507073732,0.025,4.686261665821076,319.5546508300603,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,357.25330020068213,0.6133983461127512,0.6133983461127512,1,True,0.1303428953604626,1.2005024313387358,0.1,6,2.4,3.4,0.1,2,0.0,2,-0.3718706207366069,634060.8,6340608.0,3,,613.3983461127513,0.0140625,4.630842232704163,256.14504591206907,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.4,2.0,0.0,414.79230008553714,0.631552574247843,0.631552574247843,2,True,0.15731045998600576,1.448882880543253,0.1,7,2.4,3.4,0.1,2,0.0,2,-0.39443151711692437,620953.6,6209536.0,1,,631.5525742478429,0.040625,4.406951981782913,216.76027416230588,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,318.6396998935379,0.6317745995780286,0.6317745995780286,2,True,0.1285778259583207,1.1842455413648485,0.1,5,2.0,3.0,0.1,2,0.0,2,-0.38017621276817465,778240.0,7782400.0,2,,631.7745995780286,0.01875,4.5331671118736265,313.1348996844907,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,349.8582001775503,0.6412627410972309,0.6412627410972309,2,True,0.13251327396600596,1.2204923570318453,0.1,6,1.8,2.8,0.1,2,0.0,2,-0.38688800753161845,765132.8,7651328.0,3,,641.2627410972309,0.03125,4.43785730600357,291.40454091968064,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,377.43080011568964,0.6074296213355728,0.6074296213355728,3,True,0.14143351585566658,1.3026508210359795,0.1,6,2.1,3.1,0.1,2,0.0,2,-0.37443156859561966,612761.6,6127616.0,1,,607.4296213355727,0.01875,4.446448540687561,354.9407456192181,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,307.5691998237744,0.7034830064675005,0.7034830064675005,3,True,0.1285778259583207,1.1842455413648485,0.1,5,1.3,2.3,0.1,2,0.0,2,-0.4160304162129106,796262.4,7962624.0,2,,703.4830064675006,0.0140625,4.491607874631882,395.9138066437261,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.4,2.0,0.0,424.3201000499539,0.6786575983191775,0.6786575983191775,3,True,0.14052785012027497,1.2943093313497867,0.1,7,1.9,2.9,0.1,2,0.0,2,-0.40959272421972626,612761.6,6127616.0,3,,678.6575983191775,0.0296875,4.396438735723495,254.33749826922357,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,387.2427000897005,0.96717268657002,0.96717268657002,4,True,0.13492748939500213,1.2427281028641766,0.1,6,1.9,2.9,0.1,2,0.0,2,-0.5510500879825111,638976.0,6389760.0,1,,967.17268657002,0.0109375,4.390525871515274,579.9299864803195,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,300.4140998236835,0.8440294971367698,0.8440294971367698,4,True,0.13076107806743698,1.2043540364076444,0.1,5,2.2,3.2,0.1,2,0.0,2,-0.4873952876021034,547225.6,5472256.0,2,,844.0294971367698,0.0171875,4.513517987728119,551.9569972091708,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,412.7282999106683,0.6664634424633675,0.6664634424633675,4,True,0.1335688250271982,1.2302143415854263,0.1,6,2.6,3.6,0.1,2,0.0,2,-0.4000161337452829,681574.4,6815744.0,3,,666.4634424633675,0.015625,4.478484553098679,274.34206006145547,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,376.075700041838,0.7229295825314402,0.7229295825314402,5,True,0.14143351585566658,1.3026508210359795,0.1,6,1.8,2.8,0.1,2,0.0,2,-0.4321815491935534,678297.6,6782976.0,1,,722.9295825314402,0.0328125,4.405470526218414,346.95682462288386,10,10
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.2,1.0,0.0,378.88520007254556,0.7693482432792793,0.7693482432792793,5,True,0.12228672345912983,1.1263023460323105,0.1,6,2.0,3.0,0.1,2,0.0,2,-0.44581748336920457,599654.4,5996544.0,2,,769.3482432792794,0.0265625,4.5163333177566525,390.46304320673374,10,10
