available_migs,bandwidth_allocation_sum,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_size_violation,compute_delay_ms,delay,epoch,is_warmup,kl_sum,max_bandwidth_share,mean_l1,mean_l2,min_bandwidth_share,penalty,physical_cluster_count,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,100000000.0,0.0,0.0,0.0,275.6301001063548,0.4365197984317963,1,True,1.2682992558167636,0.1,4.0,5.0,0.1,0.0,2,-0.85240952712428,262144.0,2621440.0,1,,436.5197984317963,0.028125,4.525502443313599,160.8896983254415,10,2
2,1.0,100000000.0,0.0,0.0,0.0,266.51980006136,0.3241106240580398,1,True,1.6427515007669888,0.1,4.0,5.0,0.1,0.0,2,-0.9834310624125143,262144.0,2621440.0,2,,324.11062405803983,0.0140625,4.704024147987366,79.88866270751508,10,2
2,1.0,100000000.0,0.0,0.0,0.0,261.2909999443218,0.3374369857696539,1,True,1.4351255380407466,0.1,4.0,5.0,0.1,0.0,2,-0.8862812619052003,262144.0,2621440.0,3,,337.4369857696539,0.015625,4.628816485404968,76.14598582533209,10,2
2,1.0,100000000.0,0.0,0.0,0.0,224.75009999470785,0.2972904435106074,2,True,1.4078655681635817,0.1,4.0,5.0,0.1,0.0,2,-0.8525780058370945,262144.0,2621440.0,1,,297.2904435106074,0.0296875,4.425093030929565,72.54034351589955,10,2
2,1.0,100000000.0,0.0,0.0,0.0,188.3217999129556,0.28370644125196387,2,True,1.1335237032639263,0.1,4.0,5.0,0.1,0.0,2,-0.7086150722579451,262144.0,2621440.0,2,,283.7064412519639,0.034375,4.544238972663879,95.38464133900828,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.35889987647533,0.22964573524402931,2,True,1.1428008439997108,0.1,4.0,5.0,0.1,0.0,2,-0.6862232896218701,262144.0,2621440.0,3,,229.6457352440293,0.0359375,4.426882863044739,72.85113522992016,10,2
2,1.0,100000000.0,0.0,0.0,0.0,158.40239997487515,0.24553428633676358,3,True,1.2710336071192994,0.1,4.0,5.0,0.1,0.0,2,-0.7582839467280315,262144.0,2621440.0,1,,245.53428633676359,0.0515625,4.373389840126038,88.73518640480452,10,2
2,1.0,100000000.0,0.0,0.0,0.0,226.37070005293936,0.30468507533423517,3,True,1.4198104422764173,0.1,4.0,5.0,0.1,0.0,2,-0.8622477588053262,262144.0,2621440.0,2,,304.6850753342352,0.0234375,4.451949691772461,98.97845166093153,10,2
2,1.0,100000000.0,0.0,0.0,0.0,189.34510002145544,0.24203350283285907,3,True,1.2704448835674285,0.1,4.0,5.0,0.1,0.0,2,-0.7562391932001438,262144.0,2621440.0,3,,242.03350283285909,0.021875,4.497807240486145,88.1118003647894,10,2
2,1.0,100000000.0,0.0,0.0,0.0,189.7956999600865,0.26478989666227104,4,True,1.3846555174306951,0.1,4.0,5.0,0.1,0.0,2,-0.8247227070464831,262144.0,2621440.0,1,,264.789896662271,0.0203125,4.438691854476929,144.98249662007987,10,2
2,1.0,100000000.0,0.0,0.0,0.0,224.7004999080673,0.36268974921036,4,True,1.3943352243182472,0.1,4.0,5.0,0.1,0.0,2,-0.8785124867643036,262144.0,2621440.0,2,,362.68974921036,0.025,4.44460346698761,137.9892493022927,10,2
2,1.0,100000000.0,0.0,0.0,0.0,224.90259999176487,0.29348811500712874,4,True,1.3191736512595655,0.1,4.0,5.0,0.1,0.0,2,-0.8063308831333471,262144.0,2621440.0,3,,293.4881150071287,0.0375,4.436325824260711,68.58551501536387,10,2
2,1.0,100000000.0,0.0,0.0,0.0,188.1000999128446,0.27483930606856555,5,True,1.3228325555239273,0.1,4.0,5.0,0.1,0.0,2,-0.7988359307962465,262144.0,2621440.0,1,,274.8393060685655,0.0296875,4.3364211320877075,86.73920615572096,10,2
2,1.0,100000000.0,0.0,0.0,0.0,261.10880001215264,0.3712460799676415,5,True,1.6705522654192442,0.1,4.0,5.0,0.1,0.0,2,-1.0208991726934429,262144.0,2621440.0,2,,371.2460799676415,0.0296875,4.430752491950988,110.13727995548882,10,2
2,1.0,100000000.0,0.0,0.0,0.0,289.04329997021705,0.3648798764275249,5,True,1.8243506535091216,0.1,4.0,5.0,0.1,0.0,2,-1.0946152649683232,262144.0,2621440.0,3,,364.8798764275249,0.0140625,4.42451456785202,75.83657645730786,10,2
