available_migs,bandwidth_allocation_sum,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,penalty,physical_cluster_count,ppo_approx_kl,ppo_clip_fraction,ppo_entropy,ppo_grad_norm,ppo_policy_loss,ppo_value_loss,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,0.19073122997879383,0.0,0.10427055190784251,100000000.0,0.0,4.470348358154297e-08,0.2,1.0,0.0,234.33380003552884,0.39233765773072427,0.39233765773072427,1,True,0.14794970897165616,1.3626671775637718,0.13698965311050415,6,1.6,3.6,0.06541244685649872,2,4.470348358154297e-08,2,,,,,,,-0.2701437280546738,134348.8,1343488.0,1,,392.3376577307243,0.0125,4.593199348449707,158.0038576951954,10,2
2,1.0,0.1972427800659761,0.0,0.1103030356855105,100000000.0,0.0,0.0,0.8,4.0,0.0,304.9229999887757,0.3900607535868456,0.3900607535868456,1,True,0.18680712463321103,1.72055720178205,0.12579409778118134,9,3.6,4.7,0.06031046062707901,2,0.0,2,,,,,,,-0.28843393911002835,240844.8,2408448.0,2,,390.06075358684564,0.015625,4.709401655197143,85.1377535980699,10,2
2,0.9999998807907104,0.19827102596655402,0.0,0.11123103012147093,100000000.0,1.1920928955078125e-07,0.0,0.0,0.0,0.0,165.10909993667156,0.255901095111152,0.255901095111152,1,True,0.1354439417579043,1.247484804912417,0.13852956891059875,5,2.0,5.5,0.0705307349562645,2,0.0,2,,,,,,,-0.19567251843452815,155648.0,1556480.0,3,,255.901095111152,0.0171875,4.637855052947998,90.79199517448045,10,2
2,1.0,0.2272504856260057,0.0,0.12278688148213732,100000000.0,0.0,7.82310962677002e-08,0.2,1.0,0.0,189.84019994968548,0.6341222547396052,0.6341222547396052,2,True,0.1385751044361847,1.276323878939408,0.1289551705121994,6,2.0,6.0,0.048703696578741074,2,7.82310962677002e-08,2,,,,,,,-0.3863487578189912,1048576.0,10485760.0,1,,634.1222547396052,0.0203125,4.423752856254578,444.28205478991964,10,2
2,1.0,0.21065998303178865,0.0,0.111136634813795,100000000.0,0.0,0.0,0.0,0.0,0.0,161.16990003501996,0.5766078957172271,0.5766078957172271,2,True,0.12794672590238063,1.1784328950408671,0.12304936349391937,5,2.0,4.5,0.05754954367876053,2,0.0,2,,,,,,,-0.3522773108098039,1048576.0,10485760.0,2,,576.6078957172272,0.0203125,4.537537038326263,418.27359573703006,10,2
2,1.0000001192092896,0.22412232232535337,0.0,0.1231279836220751,100000000.0,-1.1920928955078125e-07,5.960464477539063e-08,0.6,3.0,0.0,268.0550000513904,0.4642990227670268,0.4642990227670268,2,True,0.16760384636920475,1.5436884727127804,0.13880768418312073,8,2.8,5.4,0.06948032975196838,2,5.960464477539063e-08,2,,,,,,,-0.3159514941727605,629145.6,6291456.0,3,,464.29902276702677,0.01875,4.436019253730774,366.65692275835653,10,2
2,0.9999999403953552,0.1919686149874381,0.0,0.10836839371645157,100000000.0,5.960464477539063e-08,7.450580596923828e-09,0.2,1.0,0.0,189.8143000435084,0.2679036783635207,0.2679036783635207,3,True,0.14171235495930568,1.3052190240895123,0.12730737030506134,6,4.4,6.0,0.06502965092658997,2,7.450580596923828e-09,2,,,,,,,-0.20480802411199378,209715.2,2097152.0,1,,267.90367836352067,0.0265625,4.399463391304016,78.0893783200123,10,2
2,1.0000001192092896,0.2634833424835424,0.0,0.12524845487258784,100000000.0,-1.1920928955078125e-07,4.470348358154297e-08,0.0,0.0,0.0,160.8279999345541,0.21410916764027435,0.21410916764027435,3,True,0.12825456616151748,1.1812682086077149,0.17095737159252167,5,5.0,6.0,0.07513555884361267,2,4.470348358154297e-08,2,,,,,,,-0.1711819116043795,131072.0,1310720.0,2,,214.10916764027436,0.0359375,4.396822214126587,54.523567678118084,10,2
2,0.9999999403953552,0.14314530045568258,0.0,0.08072377294301986,100000000.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,162.53870003856719,0.4371313398134622,0.4371313398134622,3,True,0.13239007221028207,1.219357626927203,0.11817380785942078,5,3.5,4.5,0.0743270143866539,2,0.0,2,,,,,,,-0.28476070601187214,589824.0,5898240.0,3,,437.1313398134622,0.0265625,4.487686514854431,274.592639774895,10,2
2,1.0000001192092896,0.19354453336084848,0.0,0.10301329617838369,100000000.0,-1.1920928955078125e-07,8.195638656616211e-08,0.4,2.0,0.0,231.46790004102513,0.4006710456422003,0.4006710456422003,4,True,0.15045125016685038,1.3857072234260306,0.14419150352478027,7,4.3,5.3,0.0718483030796051,2,8.195638656616211e-08,2,,,,,,,-0.2755612298609119,222822.4,2228224.0,1,,400.6710456422003,0.034375,4.4314171314239506,169.20314560117515,10,2
