available_migs,bandwidth_allocation_sum,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,penalty,physical_cluster_count,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,274.3585999705829,0.4236051644580303,0.4236051644580303,1,True,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2809985459028898,524288.0,5242880.0,1,,423.6051644580303,0.0203125,4.612302482128143,149.7958730310479,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,162.11489995475858,0.32040642325926205,0.32040642325926205,1,True,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2165911514116064,524288.0,5242880.0,2,,320.40642325926206,0.01875,4.644698739051819,160.72582327222085,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.7380000059493,0.4904106349881428,0.4904106349881428,1,True,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.30553162254187916,524288.0,5242880.0,3,,490.4106349881428,0.0296875,4.5330657958984375,329.67263498219353,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.4308000425808,0.42008802503484455,0.42008802503484455,2,True,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2792399761912969,524288.0,5242880.0,1,,420.0880250348445,0.0328125,4.425367593765259,261.5434250249263,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,165.73810001136735,0.3768033807749692,0.3768033807749692,2,True,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.24478963016945998,524288.0,5242880.0,2,,376.80338077496924,0.028125,4.5536346435546875,218.48608080780315,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.17590002249926,0.3564963569469889,0.3564963569469889,2,True,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.23857448352130223,524288.0,5242880.0,3,,356.4963569469889,0.03125,4.453130602836609,195.3204569244896,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.6429999228567,0.31906049420662663,0.31906049420662663,3,True,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.22872621077718797,524288.0,5242880.0,1,,319.06049420662663,0.021875,4.429378032684326,161.25279421989313,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.92270000465214,0.3237329037597949,0.3237329037597949,3,True,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.21825439166187283,524288.0,5242880.0,2,,323.7329037597949,0.034375,4.5067222118377686,161.81020375514274,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.96960007073358,0.32234878030486674,0.32234878030486674,3,True,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.22150069520024115,524288.0,5242880.0,3,,322.34878030486675,0.0328125,4.45145183801651,163.54498024212467,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.573400022462,0.35053010140097024,0.35053010140097024,4,True,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.24446101437435977,524288.0,5242880.0,1,,350.53010140097024,0.025,4.371974885463715,188.95670137850823,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.91990004153922,0.35927393165984167,0.35927393165984167,4,True,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2360249056118962,524288.0,5242880.0,2,,359.27393165984165,0.0390625,4.495106995105743,200.82633163182973,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.8729000436142,0.2904563057603613,0.2904563057603613,4,True,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.20555445792798843,524288.0,5242880.0,3,,290.4563057603613,0.0125,4.393394887447357,132.03450575418032,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.33029997581616,0.27748555786255624,0.27748555786255624,5,True,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.20793874260515277,524288.0,5242880.0,1,,277.4855578625562,0.0203125,4.391216576099396,116.15525788674012,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.59820003667846,0.28804395380590586,0.28804395380590586,5,True,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2004099166849283,524288.0,5242880.0,2,,288.04395380590586,0.028125,4.472937226295471,130.03515380129696,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.0602000146173,0.3636677933458406,0.3636677933458406,5,True,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.24216020172072808,524288.0,5242880.0,3,,363.6677933458406,0.0265625,4.3921878933906555,202.6075933312233,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.7714999699965,0.30865652185625436,0.30865652185625436,6,False,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.22352422460200183,524288.0,5242880.0,1,,308.65652185625436,0.03125,4.3553250432014465,150.1740218535349,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,162.13140002219006,0.2982688183249067,0.2982688183249067,6,False,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.20552234894442872,524288.0,5242880.0,2,,298.2688183249067,0.0265625,4.485325992107391,136.79481451038419,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.67579992907122,0.8385259671717956,0.8385259671717956,6,False,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.4795892886337056,524288.0,5242880.0,3,,838.5259671717956,0.040625,4.393024742603302,680.2953671081066,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.60749993287027,0.3818174439206125,0.3818174439206125,7,False,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2601046856341809,524288.0,5242880.0,1,,381.8174439206125,0.0328125,4.300775468349457,223.81644391718896,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.12230002181605,0.35583134164547414,0.35583134164547414,7,False,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.23430361060471244,524288.0,5242880.0,2,,355.83134164547414,0.0265625,4.471370160579681,194.70904162365812,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,161.36200004257262,0.30549812611069066,0.30549812611069066,7,False,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.2130753681031531,524288.0,5242880.0,3,,305.49812611069063,0.0265625,4.366490185260773,144.13612606811805,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,165.6694000121206,0.31204622119150205,0.31204622119150205,8,False,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.22521907426962567,524288.0,5242880.0,1,,312.04622119150207,0.0328125,4.326967716217041,146.3768211793814,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.84870003396645,0.42686202583003324,0.42686202583003324,8,False,0.11277587956395072,1.038704236532979,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.26981895269699196,524288.0,5242880.0,2,,426.86202583003325,0.0453125,4.374224424362183,266.0133257960668,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.5070999939926,0.32584907752820214,0.32584907752820214,8,False,0.12065261009561556,1.1112516057479493,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.22325084381190885,524288.0,5242880.0,3,,325.84907752820214,0.0359375,4.388424217700958,165.34197753420952,10,2
2,1.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,160.4608999332413,0.30653541659431216,0.30653541659431216,9,False,0.1383919273477493,1.2746367556065703,0.1,5,3.0,4.0,0.1,2,0.0,2,-0.22246367197103073,524288.0,5242880.0,1,,306.53541659431215,0.0484375,4.27872508764267,148.46081661253854,10,2
