algorithm,bandwidth_cv_ci95,bandwidth_cv_mean,bandwidth_cv_std,bandwidth_floor_hit_rate_ci95,bandwidth_floor_hit_rate_mean,bandwidth_floor_hit_rate_std,bandwidth_gini_ci95,bandwidth_gini_mean,bandwidth_gini_std,cluster_load_cv_ci95,cluster_load_cv_mean,cluster_load_cv_std,cluster_size_std_ci95,cluster_size_std_mean,cluster_size_std_std,compute_delay_ms_ci95,compute_delay_ms_mean,compute_delay_ms_std,delay_normalized_ci95,delay_normalized_mean,delay_normalized_std,epoch,is_warmup,kl_normalized_ci95,kl_normalized_mean,kl_normalized_std,kl_sum_ci95,kl_sum_mean,kl_sum_std,max_bandwidth_share_ci95,max_bandwidth_share_mean,max_bandwidth_share_std,max_cluster_size_ci95,max_cluster_size_mean,max_cluster_size_std,mean_l1_ci95,mean_l1_mean,mean_l1_std,mean_l2_ci95,mean_l2_mean,mean_l2_std,min_bandwidth_share_ci95,min_bandwidth_share_mean,min_bandwidth_share_std,physical_cluster_count_ci95,physical_cluster_count_mean,physical_cluster_count_std,ppo_approx_kl_ci95,ppo_approx_kl_mean,ppo_approx_kl_std,ppo_clip_fraction_ci95,ppo_clip_fraction_mean,ppo_clip_fraction_std,ppo_entropy_ci95,ppo_entropy_mean,ppo_entropy_std,ppo_grad_norm_ci95,ppo_grad_norm_mean,ppo_grad_norm_std,ppo_policy_loss_ci95,ppo_policy_loss_mean,ppo_policy_loss_std,ppo_value_loss_ci95,ppo_value_loss_mean,ppo_value_loss_std,reward_ci95,reward_mean,reward_std,seed_count,smashed_data_bytes_total_ci95,smashed_data_bytes_total_mean,smashed_data_bytes_total_std,test_accuracy_ci95,test_accuracy_mean,test_accuracy_std,total_delay_ms_ci95,total_delay_ms_mean,total_delay_ms_std,train_accuracy_ci95,train_accuracy_mean,train_accuracy_std,train_loss_ci95,train_loss_mean,train_loss_std,tx_delay_ms_ci95,tx_delay_ms_mean,tx_delay_ms_std
MAT-RL,0.023329852707371364,0.21405733463707824,0.020616576644013025,0.0,0.0,0.0,0.011608009677241396,0.11715420701163497,0.010257991089659848,0.15088087034822217,0.3333333333333333,0.1333333333333333,0.7544043517411112,1.6666666666666667,0.6666666666666667,64.877207845777,277.45277776072425,57.33194910310813,0.1713251901429681,0.4826285403718627,0.15139996629796904,1,True,0.02221809194297751,0.15253504746217475,0.01963411433289478,0.20463618921068463,1.4048997057821717,0.18083687590825706,0.007450112544698877,0.14002635578314462,0.006583659923226895,0.7544043517411109,6.666666666666667,0.6666666666666665,0.9809674237301427,2.4222222222222225,0.8668803155462014,0.1742222222222222,4.777777777777779,0.15396007178390017,0.00244372747086562,0.06769035839372212,0.0021595204792811467,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.091402440334108,-0.31758180136759934,0.08077228091553974,3,1988401.8685726007,3216725.3333333335,1757149.521547264,,,,171.32519014296807,482.6285403718627,151.399966297969,0.003024455044780998,0.01579861111111111,0.0026727090830452513,0.030388177746272674,4.6296676688724085,0.026854014186723556,108.37069718728189,207.7392859177577,95.76711917348666
MAT-RL,0.023206386105019943,0.21967124192144802,0.020507469282630083,0.0,0.0,0.0,0.01326798942560992,0.12041858009780192,0.011724914183389277,0.04355555555555555,0.3111111111111111,0.03849001794597504,0.21777777777777788,1.5555555555555556,0.19245008972987535,7.63706665857328,213.47661110727736,6.748871159917957,0.0966865410863043,0.46263736085225543,0.08544183753549733,2,True,0.0050220718543928155,0.14163408284956902,0.004438001842382655,0.04625499115147926,1.3044981113172052,0.040875507539801494,0.009454743363447274,0.1330991693668895,0.00835515095817109,0.2177777777777782,6.555555555555556,0.19245008972987562,0.8626309455080711,2.566666666666667,0.762306441735285,0.1428064389736881,5.211111111111111,0.12619796324000615,0.004113547164746936,0.06258129204312961,0.003635139126873773,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.04937105587790275,-0.30213574503049634,0.04362917204278042,3,3346388.4947839025,5768988.444444444,2957201.476953907,,,,96.68654108630425,462.63736085225554,85.4418375354973,0.00531530880721425,0.024305555555555552,0.004697135159190514,0.011879351103286629,4.454565877384609,0.010497775342776449,132.08213923489214,284.507136758275,116.72090608531623
MAT-RL,0.0055464470233994225,0.19394698165525792,0.004901391860212738,0.0,0.0,0.0,0.0017321212376668973,0.10610588240189844,0.001530674483932731,0.23047433643051543,0.2888888888888889,0.2036700308869262,1.1523716821525773,1.4444444444444446,1.0183501544346312,40.43554883362585,209.73580000766864,35.73286990396552,0.12596783368577183,0.4106948609879019,0.11131769799139955,3,True,0.01334967937609295,0.1464839006555525,0.011797103542932336,0.12295509091056685,1.3491665840523837,0.10865533903385306,0.006418731789055368,0.13227243473132452,0.005672229376939477,1.1523716821525773,6.444444444444444,1.0183501544346312,1.6763231368859821,3.133333333333333,1.4813657362192647,0.6281671555475041,4.877777777777777,0.5551109331909689,0.003066855152800777,0.0684960385163625,0.0027101780327068157,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.06651882042882762,-0.27858939903425756,0.05878264114402041,3,1740022.8415118577,4622108.444444445,1537657.1264433193,,,,125.96783368577186,410.69486098790185,111.31769799139957,0.006831028715932998,0.024131944444444445,0.006036575920386704,0.020138829193031258,4.448049627410042,0.017796671105755852,133.47464418230868,222.4626542717651,117.95146186017156
MAT-RL,0.008046479304498077,0.19771792754184533,0.007110668866041913,0.0,0.0,0.0,0.005082743400805359,0.10909529781090216,0.004491617251035869,0.2304743364305155,0.1777777777777778,0.20367003088692626,1.1523716821525773,0.8888888888888888,1.0183501544346312,39.586218477353086,192.24923333644662,34.98231718484562,0.06846087092529421,0.3984528441943693,0.060498829986237,4,True,0.01245234616810631,0.13353914489176755,0.011004130732957015,0.11469034663793261,1.2299409774358236,0.10135178954825798,0.0028318152158401323,0.13745136972930697,0.0025024733834090487,1.1523716821525773,5.888888888888889,1.0183501544346312,1.1989650681182924,2.8777777777777778,1.059524701265899,1.0242503551981115,4.544444444444444,0.9051294157518358,0.002125733109767231,0.06968295408619773,0.0018785090558409354,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.03726312394353783,-0.26599601275559875,0.032929399958644835,3,620793.1058270456,4338119.111111111,548594.4899392478,,,,68.46087092529424,398.45284419436933,60.49882998623702,0.00800195589998524,0.03159722222222223,0.007071323560561213,0.003520792307201414,4.456257405545977,0.003111322019882908,32.53662029666159,221.6640553169935,28.75259156142583
MAT-RL,0.004827377205076774,0.19977079483228835,0.004265950299231028,0.0,0.0,0.0,0.004767570869814947,0.10926307539555974,0.004213099477145323,0.11523716821525774,0.31111111111111117,0.10183501544346313,0.5761858410762887,1.5555555555555556,0.5091750772173156,22.031699894870712,212.95740000722517,19.469399793380592,0.07548627666839952,0.3627331046439409,0.06670717676728015,5,True,0.01365853887543118,0.14389138445876182,0.012070042494592592,0.12579979202659008,1.3252886274600806,0.11116919967941437,0.004724294419884643,0.1359978434112337,0.00417485610467058,0.5761858410762887,6.555555555555556,0.5091750772173156,1.197777777777778,2.522222222222222,1.058475493514314,1.1693267451987222,5.000000000000001,1.0333333333333332,0.003235729421572655,0.06979820794529386,0.0028594121212802514,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.0444763263726898,-0.25331226276388175,0.03930370255689506,3,1445082.0150177642,3293184.0,1277018.0975075404,,,,75.48627666839953,362.733104643941,66.70717676728015,0.006641957246536209,0.028645833333333332,0.005869493577908672,0.016112079610826276,4.4291054010391235,0.014238234949768213,99.5808162050354,191.7911927123406,87.99950669709158
MAT-RL,0.014877274778500704,0.21765960482797142,0.01314703867067665,0.0,0.0,0.0,0.008725298476553544,0.12231437688296355,0.007710540955405133,0.18985426509643819,0.3111111111111111,0.1677740985615722,0.9492713254821913,1.5555555555555556,0.8388704928078612,31.741249432083556,211.5531111226624,28.049722812288515,0.11141855998668375,0.45812956739453803,0.09846051367504947,6,False,0.009012282268471965,0.14318645582883996,0.007964148357727317,0.08300618722095225,1.3187959948405494,0.07335251714758356,0.0010595823283625324,0.13583976527055105,0.0009363522589418548,0.9492713254821908,6.555555555555556,0.8388704928078609,0.387130245731968,2.511111111111111,0.3421067626297924,0.4815794999943564,4.433333333333334,0.425571511160123,0.0037373119992151205,0.06690896923343341,0.0033026603399884716,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.05514275345007234,-0.3006580414140114,0.048729617675902705,3,1732102.839049251,4116024.8888888885,1530658.2250855104,,,,111.4185599866838,458.12956739453807,98.46051367504953,0.002700871130045102,0.028125,0.0023867581744561658,0.016165300309992133,4.410281046231588,0.014285266049242497,116.35923146127597,304.4156893034721,102.82658205132496
MAT-RL,0.044823605409684934,0.18396023757265834,0.03961059283060892,0.0,0.0,0.0,0.026918659683843847,0.10097967874221454,0.02378800318575179,0.0,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,2.9598224999926814,215.9671666773243,2.615593342537172,0.16623807431969506,0.45082202181804343,0.14690448513985863,7,False,0.00950035550847492,0.14725243116080866,0.008395458382982356,0.08750150788783259,1.35624501159204,0.07732502928602802,0.008456375148120249,0.1339555349614885,0.007472893573677072,0.0,6.666666666666667,0.0,0.4635137937937087,2.8333333333333335,0.4096068575814833,0.43718583781971243,4.7444444444444445,0.3863408589047495,0.006794650898845987,0.07325610601239735,0.006004428865558566,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.08071297104736942,-0.2990372289729529,0.07132600341014267,3,2684880.4551522885,4620288.0,2372627.224781845,,,,166.23807431969513,450.8220218180434,146.90448513985868,0.0020698289165598117,0.033680555555555554,0.001829106554314712,0.018710740428683946,4.383610365125868,0.016534669933527382,196.1450943297115,287.9951951710145,173.33330052778084
MAT-RL,0.012471550745145587,0.20907242865934883,0.011021101806002881,0.0,0.0,0.0,0.007865383688894386,0.11632615119387411,0.006950634780708468,0.15088087034822217,0.3333333333333333,0.1333333333333333,0.7544043517411112,1.6666666666666667,0.6666666666666667,24.01237378250933,216.6671778023657,21.21972010287807,0.051010628385237074,0.4878661477302951,0.045078061270023354,8,False,0.008814183296231666,0.140080855300135,0.007789088416478656,0.08118162825928067,1.290192356911787,0.07174015550318544,0.003956379551898563,0.1350770162211524,0.003496250203017805,0.7544043517411109,6.666666666666667,0.6666666666666665,0.4776239545660464,2.522222222222222,0.42207599807161295,0.39978685679271353,4.577777777777778,0.3532914021241033,0.004684557861950082,0.06527181466420491,0.004139740932598864,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.02984422861039098,-0.31397352800616823,0.026373326666274434,3,1366934.5156594904,5208291.555555556,1207959.1998682613,,,,51.01062838523712,487.8661477302951,45.07806127002339,0.0032815200506156584,0.037500000000000006,0.0028998772723073034,0.012854655543019271,4.385730916923946,0.011359651282809323,78.78840087725695,359.4082669062675,69.62526192169048
MAT-RL,0.021720642169841858,0.21667020659065647,0.0191945182710149,0.0,0.0,0.0,0.009185460375066686,0.11899220774910484,0.008117185745166415,0.1995966302691877,0.3333333333333333,0.17638342073763938,0.9979831513459387,1.6666666666666667,0.881917103688197,29.984093833020662,216.98312224665037,26.49692547842063,0.09793110051553049,0.5066671975104619,0.08654165394593544,9,False,0.02421442581899095,0.157967167107677,0.021398273364591807,0.22302310370487471,1.454931376658546,0.1970853810604825,0.008189336986167911,0.1406408796707789,0.007236912112421329,0.9979831513459382,6.666666666666667,0.8819171036881965,0.8700215408146406,2.433333333333333,0.7688375063113863,1.033699146718195,4.7,0.9134793070696474,0.0045805879815249435,0.06998663271466891,0.004047862812520699,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.05947204042091764,-0.33231720176336327,0.052555405938173115,3,1242016.801823425,5230136.888888889,1097569.4921491724,,,,97.93110051553049,506.66719751046185,86.54165394593544,0.007848549543595406,0.045138888888888895,0.006935758456749371,0.03083478375559307,4.344181692600251,0.027248679645452384,103.71470773382532,343.2395327447134,91.65262412609297
MAT-RL,0.03436306778352359,0.20068875441446055,0.030366622094385766,0.0,0.0,0.0,0.020017726047233435,0.1106089884698427,0.01768965232949144,0.314083577773752,0.35555555555555557,0.27755546659548436,1.57041788886876,1.7777777777777777,1.3877773329774221,51.73400462933599,220.43868887703866,45.717308416843586,0.1767006137665426,0.41358986291995,0.15615022488380428,10,False,0.038449272973038136,0.15486239687978684,0.03397759913438107,0.3541308911367057,1.4263353860828991,0.31294525305021287,0.012406963434902685,0.13371571650107703,0.010964026039235065,1.57041788886876,6.777777777777778,1.3877773329774221,1.2692913936426529,2.1777777777777776,1.1216720323464198,0.48647870545810934,4.844444444444445,0.42990093604784707,0.003958189277460357,0.06433422615130742,0.003497849456395756,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.1067333936602343,-0.28422613403907987,0.0943202350427427,3,1848959.8524396552,4254378.666666667,1633924.6967247638,0.002224854669098884,0.008854166666666665,0.001966102717518423,176.70061376654255,413.58986291995,156.1502248838042,0.007369194330261647,0.044444444444444446,0.006512152546357999,0.026843655517951065,4.329700905746884,0.02372172204998362,100.25355587735416,216.15028732145117,88.59400633623613
