available_migs,bandwidth_allocation_sum,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,penalty,physical_cluster_count,ppo_approx_kl,ppo_clip_fraction,ppo_entropy,ppo_grad_norm,ppo_policy_loss,ppo_value_loss,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,0.2721098929575579,0.0,0.15253339221676146,100000000.0,0.0,7.450580596923828e-09,0.4,2.0,0.0,415.79020000062883,0.9889139414446937,0.9889139414446937,1,True,0.14425292327151898,1.3286185229832541,0.15202826261520386,7,2.7,5.7,0.06812699884176254,2,7.450580596923828e-09,2,,,,,,,-0.566583439808687,681574.4,6815744.0,1,,988.9139414446937,0.00625,4.654784297943115,573.1237414440649,10,2
2,1.0,0.18134712370500428,0.0,0.09706026469081247,100000000.0,0.0,1.4901161193847656e-08,0.2,1.0,0.0,188.72139998711646,0.20323988454949143,0.20323988454949143,1,True,0.12763737602446681,1.1755836773712516,0.13763508200645447,6,2.0,5.4,0.07748182117938995,2,1.4901161193847656e-08,2,,,,,,,-0.16543864518814033,81920.0,819200.0,2,,203.23988454949142,0.0171875,4.598296904563904,35.86509439932494,10,2
2,1.0,0.17821394482941424,0.0,0.09340741436238693,100000000.0,0.0,0.0,0.0,0.0,0.0,160.32859997358173,0.17684024035655938,0.17684024035655938,1,True,0.12153353557794044,1.1193652292825087,0.12857423722743988,5,0.0,3.5,0.058203816413879395,2,0.0,2,,,,,,,-0.1491868879672499,49152.0,491520.0,3,,176.84024035655938,0.0171875,4.677312195301056,18.236740305601124,10,2
2,0.9999999403953552,0.21517572398431287,0.0,0.11680710161059393,100000000.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,162.3383000260219,0.2970877338749694,0.2970877338749694,2,True,0.13237480163651566,1.219216979745139,0.12093231081962585,5,1.5,5.0,0.06086895242333412,2,0.0,2,,,,,,,-0.21473126775574253,286720.0,2867200.0,1,,297.0877338749694,0.01875,4.498385965824127,134.7494338489475,10,2
2,1.0,0.22764483657073636,0.0,0.1244715352601759,100000000.0,0.0,1.1175870895385742e-08,0.6,3.0,0.0,266.8458999833092,0.6115031171628598,0.6115031171628598,2,True,0.15614673883516297,1.4381646126459229,0.13853734731674194,8,1.0,4.2,0.05852583423256874,2,1.1175870895385742e-08,2,,,,,,,-0.38382493917488225,1048576.0,10485760.0,2,,611.5031171628598,0.021875,4.43901515007019,358.1220002731684,10,2
2,1.0,0.15321680739063392,0.0,0.08709342955589079,100000000.0,0.0,2.2351741790771484e-08,0.4,2.0,0.0,230.14910001074895,0.27350836426209574,0.27350836426209574,2,True,0.14242070855069822,1.3117432017699495,0.12010642141103745,7,3.5,6.0,0.07763182371854782,2,2.2351741790771484e-08,2,,,,,,,-0.20796455875813877,106496.0,1064960.0,3,,273.5083642620957,0.03125,4.4215127825737,43.35926425134679,10,2
2,1.0,0.18327769578578185,0.0,0.1019803046589999,100000000.0,0.0,2.9802322387695312e-08,0.4,2.0,0.0,227.73280000546947,0.2958826861580869,0.2958826861580869,3,True,0.1584679203442747,1.4595434844099793,0.12296384572982788,7,4.7,5.7,0.06871065497398376,2,2.9802322387695312e-08,2,,,,,,,-0.22717533305350318,170393.6,1703936.0,1,,295.88268615808687,0.0265625,4.385851728916168,104.97626122267708,10,2
2,1.0,0.2569882896513482,0.0,0.14368490343816437,100000000.0,0.0,0.0,0.4,2.0,0.0,229.69870001543313,0.3187504930849767,0.3187504930849767,3,True,0.13951922783678553,1.2850195768120891,0.14641791582107544,7,4.0,5.0,0.054354652762413025,2,0.0,2,,,,,,,-0.2291348604608811,262144.0,2621440.0,2,,318.7504930849767,0.025,4.448771715164185,108.00965758511823,10,2
2,1.0,0.1308235644437205,0.0,0.071603826746202,100000000.0,0.0,3.725290298461914e-08,0.6,3.0,0.0,267.13809999637306,0.5787911335036042,0.5787911335036042,3,True,0.1748622216171216,1.6105405792936214,0.1167178824543953,8,2.2,3.4,0.07561855763196945,2,3.725290298461914e-08,2,,,,,,,-0.3768267148132659,943718.4,9437184.0,3,,578.7911335036042,0.0234375,4.551213884353638,311.65303350723116,10,2
2,1.0,0.17379247466599698,0.0,0.09756840769099581,100000000.0,0.0,1.4901161193847656e-08,0.0,0.0,0.0,165.4395999503322,0.3036736016398024,0.3036736016398024,4,True,0.126009083195041,1.1605865461869918,0.12367714941501617,5,3.5,4.5,0.06487248092889786,2,1.4901161193847656e-08,2,,,,,,,-0.2148413573185829,393216.0,3932160.0,1,,303.67360163980237,0.0265625,4.450989246368408,142.54090165521094,10,2
