actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,delay,delay_normalized,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,pcsfl_cluster_q_loss,pcsfl_clustering_factor,pcsfl_learning_reward,pcsfl_learning_reward_mean,pcsfl_split_q_loss,pcsfl_waiting_factor,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
930.3775700458773,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,2.0,0.0,736.3019660115242,,1.6666795360574014,1.6666795360574014,1,0.0,930.3775700458773,1.0,True,0.15121293988718718,1.3927226450081678,0.1,7,1.4,2.4,0.1,2,279.56362213947733,0.0,0.6995159479976586,,6.73411886964459e-05,-0.05215892607472167,,,0.4400614575828972,0.0,2,0.0,-0.9089462379722942,969932.8,9699328.0,1,,0,1666.6795360574015,0.0359375,4.504497432708741,930.3775700458773,10,2
280.25214393051607,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29916666666666664,0.0,0.0,0.8,4.0,0.0,1017.2655759379268,,1.2975177198684429,1.2975177198684429,1,0.0,280.25214393051607,1.0,True,0.21193679703299903,1.9520100380203533,0.1,9,1.7,2.7,0.1,2,184.02947378367858,0.0,0.3433432080030557,,0.00010014174040406942,-0.0020775598041616883,,,0.08705898180955214,0.0,2,0.0,-0.754727258450721,878182.4,8781824.0,2,,0,1297.5177198684428,0.0234375,4.555739098787308,280.25214393051607,10,2
295.23600895071934,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29833333333333334,0.0,0.0,0.8,4.0,0.0,1002.5678523816168,,1.2978038613323362,1.2978038613323362,1,0.0,295.23600895071934,1.0,True,0.21429877136785724,1.9737646255942694,0.1,9,1.1,2.1,0.1,2,229.0859246810247,0.0,0.22405832034105422,,0.00011904453640454449,-0.0010259694481080106,,,0.06113833338383157,0.0,2,0.0,-0.7560513163500967,1048576.0,10485760.0,3,,0,1297.803861332336,0.0328125,4.588117855787277,295.23600895071934,10,2
315.0685645077635,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2975,0.0,0.0,0.0,0.0,0.0,1115.0507777929306,,1.430119342300694,1.430119342300694,2,0.0,315.0685645077635,1.0,True,0.05883088013832224,0.27092621522844057,0.1,10,1.4,2.4,0.1,1,221.8463451513751,0.0,0.2958791509461788,,3.0510404030792415e-05,-0.002445249046174325,,,0.09447806844494885,0.0,1,0.0,-0.744475111219508,969932.8,9699328.0,1,,0,1430.119342300694,0.0203125,4.457368505001068,315.0685645077634,10,1
303.34336469800286,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29666666666666663,0.0,0.0,0.8,4.0,0.0,1019.1102921962738,,1.3224536568942766,1.3224536568942766,2,0.0,303.34336469800286,1.0,True,0.19821999307725494,1.8256736047722808,0.1,9,1.2,2.2,0.1,2,189.33361722127663,0.0,0.3758438810429562,,5.230533133726567e-05,-0.002543009970120469,,,0.09634607089849806,0.0,2,0.0,-0.7603368249857658,896204.8,8962048.0,2,,0,1322.4536568942767,0.034375,4.39353893995285,303.34336469800286,10,2
365.23228298759796,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29583333333333334,0.0,0.0,0.8,4.0,0.0,986.8267448619008,,1.2648308980315097,1.2648308980315097,2,0.0,365.23228298759796,1.0,True,0.22303414243717995,2.054220366418245,0.1,9,0.9,1.9,0.1,2,194.36350731990726,0.0,0.4678359050574202,,6.392627255991101e-05,-0.0024312590002755208,,,0.09420046931142927,0.0,2,0.0,-0.7439325202343449,848691.2,8486912.0,3,,0,1264.8308980315098,0.0265625,4.439698415994644,365.232282987598,10,2
443.01275197549745,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,1114.0832491219044,,1.557096001097402,1.557096001097402,3,0.0,443.01275197549745,1.0,True,0.05883088013832224,0.27092621522844057,0.1,10,1.8,2.8,0.1,1,243.24245557299525,0.0,0.4509357699336638,,2.49031581915915e-05,-0.011026095679946057,,,0.20091494996276155,0.0,1,0.0,-0.8079634406178621,891289.6,8912896.0,1,,0,1557.096001097402,0.0265625,4.465851783752441,443.01275197549757,10,1
416.0803128319892,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29416666666666663,0.0,0.0,0.6,3.0,0.0,895.5520731396973,,1.3116323859716865,1.3116323859716865,3,0.0,416.0803128319892,1.0,True,0.1447184336291102,1.3329060318233494,0.1,8,1.9,2.9,0.1,2,213.29908133747597,0.0,0.48736079367541507,,4.562843059829902e-05,-0.008025895896336344,,,0.1713265209015037,0.0,2,0.0,-0.7281754098003983,825753.6,8257536.0,2,,0,1311.6323859716865,0.0203125,4.402569437026978,416.08031283198926,10,2
336.6727080695872,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29333333333333333,0.0,0.0,0.4,2.0,0.0,772.3217750899494,,1.1089944831595366,1.1089944831595366,3,0.0,336.6727080695872,1.0,True,0.15527106322223272,1.4300993421953965,0.1,7,0.8,1.8,0.1,2,192.12699613991555,0.0,0.42933599446913107,,4.46939084213227e-05,-0.004604774309492854,,,0.12969674450129237,0.0,2,0.0,-0.6321327731908847,848691.2,8486912.0,3,,0,1108.9944831595367,0.0515625,4.357112181186676,336.6727080695872,10,2
264.1761344461481,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2925,0.0,0.0,0.0,0.0,0.0,1122.0240918919444,,1.3862002263380926,1.3862002263380926,4,0.0,264.1761344461481,1.0,True,0.05883088013832224,0.27092621522844057,0.1,10,1.2,2.2,0.1,1,187.91670190954136,0.0,0.2886688939426212,,2.912582567660138e-05,-0.0014706586872416105,,,0.073257161709581,0.0,1,0.0,-0.7225155532382074,869990.4,8699904.0,1,,0,1386.2002263380925,0.021875,4.445785510540008,264.1761344461482,10,1
380.61332843439783,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29166666666666663,0.0,0.0,0.4,2.0,0.0,779.1818990372121,,1.0656453141587923,1.0656453141587923,4,0.0,380.61332843439783,1.0,True,0.13972054803391917,1.2868738043514434,0.1,7,1.8,2.8,0.1,2,212.8817713012007,0.0,0.44068755506576324,,5.7245444622822106e-05,-0.0029177343936219735,,,0.10320693982172399,0.0,2,0.0,-0.6026829310963557,865075.2,8650752.0,2,,0,1065.6453141587922,0.046875,4.314435201883316,380.6133284343978,10,2
438.26553535399546,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29083333333333333,0.0,0.0,0.6,3.0,0.0,894.0473101101816,,1.332312845464177,1.332312845464177,4,0.0,438.26553535399546,1.0,True,0.17740659462961855,1.633975120771989,0.1,8,1.8,2.8,0.1,2,220.78865390588714,0.0,0.4962217283922362,,4.4801226977142505e-05,-0.00828454554551955,,,0.17407300339587733,0.0,2,0.0,-0.7548597200468978,838860.8,8388608.0,3,,0,1332.3128454641771,0.0328125,4.413091653585434,438.2655353539954,10,2
294.9773345928442,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.6,3.0,0.0,877.2476590238512,,1.1722249936166953,1.1722249936166953,5,0.0,294.9773345928442,1.0,True,0.1722604168708043,1.586577071998616,0.1,8,1.2,2.2,0.1,2,197.7405740734689,0.0,0.32964146433010094,,4.888754028797848e-05,-0.0020259568846184295,,,0.08598745936915504,0.0,2,0.0,-0.6722427052437498,896204.8,8962048.0,1,,0,1172.2249936166952,0.028125,4.371788692474365,294.97733459284416,10,2
429.7583042561349,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2891666666666667,0.0,0.0,0.8,4.0,0.0,1015.6695637851954,,1.4454278680413304,1.4454278680413304,5,0.0,429.7583042561349,1.0,True,0.21193679703299903,1.9520100380203533,0.1,9,2.2,3.2,0.1,2,198.30543672618415,0.0,0.538565201039153,,5.7390492656850256e-05,-0.013150694968442456,,,0.21949581379006294,0.0,2,0.0,-0.8286823325371647,773324.8,7733248.0,2,,0,1445.4278680413304,0.040625,4.368267571926117,429.758304256135,10,2
349.8490867104029,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.28833333333333333,0.0,0.0,0.8,4.0,0.0,1002.4238820187747,,1.3522729687291777,1.3522729687291777,5,0.0,349.8490867104029,1.0,True,0.20058556152765264,1.8474612953736518,0.1,9,2.3,3.3,0.1,2,187.88366534003657,0.0,0.4629579653710447,,5.9434372815303504e-05,-0.0068852971995121415,,,0.15865366722695215,0.0,2,0.0,-0.7764292651284151,734003.2,7340032.0,3,,0,1352.2729687291776,0.0296875,4.382305675745011,349.84908671040296,10,2
309.2293283549447,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2875,0.0,0.0,0.0,0.0,0.0,1119.204906746745,,1.4284342351016899,1.4284342351016899,6,0.0,309.2293283549447,1.0,False,0.05883088013832224,0.27092621522844057,0.1,10,1.4,2.4,0.1,1,173.3021320925127,0.0,0.43956760823931235,,2.9044094844721258e-05,-0.005083850209293805,,,0.13628951997493766,0.0,1,0.0,-0.743632557620006,817561.6,8175616.0,1,,0,1428.4342351016899,0.028125,4.438710856437683,309.2293283549447,10,1
231.36880588733285,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2866666666666667,0.0,0.0,0.2,1.0,0.0,658.2147381268442,,0.889583544014177,0.889583544014177,6,0.0,231.36880588733285,1.0,False,0.11417895857264726,1.0516270717718492,0.1,6,1.2,2.2,0.1,2,155.4122204426255,0.0,0.3282922481853284,,3.408536394999828e-05,-0.0016857777302517474,,,0.07843451378565461,0.0,2,0.0,-0.5018812512934121,743833.6,7438336.0,2,,0,889.583544014177,0.025,4.357040548324585,231.36880588733288,10,2
990.6189664816081,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.28583333333333333,0.0,0.0,0.8,4.0,0.0,1019.5807167328894,,2.0101996832144975,2.0101996832144975,6,0.0,990.6189664816081,1.0,False,0.22547425094684173,2.0766945963367855,0.1,9,1.0,2.0,0.1,2,299.63366130217787,0.0,0.6975288466700876,,5.465129834192339e-05,-0.10480920776616437,,,0.6296458878395345,0.0,2,0.0,-1.1178369670806696,948633.6,9486336.0,3,,0,2010.1996832144976,0.0390625,4.307219201326371,990.6189664816081,10,2
956.9349038769953,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.6,3.0,0.0,874.2568893358111,,1.8311917932128063,1.8311917932128063,7,0.0,956.9349038769953,1.0,False,0.17942665070014424,1.6525805247520073,0.1,8,1.4,2.4,0.1,2,330.2072568941653,0.0,0.6549323725612477,,5.235722164798062e-05,-0.07124408400337762,,,0.5160264008163968,0.0,2,0.0,-1.0053092219564752,956825.6,9568256.0,1,,0,1831.1917932128063,0.0390625,4.31480153799057,956.9349038769952,10,2
966.5118942530186,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2841666666666667,0.0,0.0,0.6,3.0,0.0,894.0799287520349,,1.8605918230050533,1.8605918230050533,7,0.0,966.5118942530186,1.0,False,0.15346929023823078,1.4135043997397074,0.1,8,1.9,2.9,0.1,2,226.48013548275344,0.0,0.7656726866690123,,7.337545048358152e-05,-0.08215299441823198,,,0.5551950687730355,0.0,2,0.0,-1.007030556621642,699596.8,6995968.0,2,,0,1860.5918230050534,0.0375,4.34379278421402,966.5118942530186,10,2
279.0706991564545,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,1133.8384388945997,,1.4129091380510541,1.4129091380510541,7,0.0,279.0706991564545,1.0,False,0.05392078404264016,0.24831438707826892,0.1,10,1.1,2.1,0.1,1,225.98437135013936,0.0,0.1902253728778367,,2.941764432762284e-05,-0.000752410621000954,,,0.05239090679102395,0.0,1,0.0,-0.7334149610468471,1048576.0,10485760.0,3,,0,1412.909138051054,0.0171875,4.3831957340240475,279.0706991564545,10,1
309.5191515949347,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2825,0.0,0.0,0.8,4.0,0.0,1000.0127218663692,,1.309531873461304,1.309531873461304,8,0.0,309.5191515949347,1.0,False,0.22526650890142288,2.0747812213889074,0.1,9,1.4,2.4,0.1,2,201.93549525095938,0.0,0.34758319732269494,,0.0003620829065766884,-0.0017431466411482743,,,0.0794319347769586,0.0,2,0.0,-0.7673991911813635,956825.6,9568256.0,1,,0,1309.531873461304,0.0453125,4.363811326026917,309.5191515949347,10,2
