actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,delay,delay_normalized,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,pcsfl_clustering_factor,pcsfl_learning_reward,pcsfl_waiting_factor,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
34.69889092488513,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,45.002473052591085,,0.07970136397747622,0.07970136397747622,1,0.0,34.69889092488513,0.8129573680754447,True,0.14437013017452865,1.3296980384539183,0.1,5,3.0,4.0,0.1,2,25.282268382666302,0.0,0.27138108138970735,,,,0.0,2,0.0,-0.11203574707600245,120470.25,1204702.5,1,,2,79.70136397747622,0.0125,4.725720405578613,34.698890924885134,10,2
36.98898457904666,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,44.154416769742966,,0.08114340134878963,0.08114340134878963,1,0.0,36.98898457904666,0.8382392564597498,True,0.11077272985008847,1.0202545458522811,0.1,5,3.0,4.0,0.1,2,28.49438420095961,0.0,0.2296521646852406,,,,0.0,2,0.0,-0.09595806559943905,125796.275,1257962.75,2,,2,81.14340134878962,0.0,4.877765655517578,36.98898457904666,10,2
36.572852338263466,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,44.10852584987879,,0.08068137818814225,0.08068137818814225,1,0.0,36.572852338263466,0.7267152821194298,True,0.1303574334495295,1.2006363320874,0.1,5,3.0,4.0,0.1,2,25.665820160233373,0.0,0.29822755078413377,,,,0.0,2,0.0,-0.10551940581883587,106077.775,1060777.75,3,,2,80.68137818814225,0.0125,4.7889275550842285,36.572852338263466,10,2
34.380918586446775,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.08852972462773,,0.07746944831107451,0.07746944831107451,2,0.0,34.380918586446775,0.799119150076706,True,0.14437013017452865,1.3296980384539183,0.1,5,3.0,4.0,0.1,2,28.553645182244505,0.0,0.16949149830160226,,,,0.0,2,0.0,-0.11091978924280158,116709.75,1167097.5,1,,2,77.46944831107452,0.00625,4.694202184677124,34.380918586446775,10,2
37.362675904952255,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.518649879843,,0.08088132578479526,0.08088132578479526,2,0.0,37.362675904952255,0.799957547189927,True,0.11077272985008847,1.0202545458522811,0.1,5,3.0,4.0,0.1,2,28.705149120002446,0.0,0.2317159190357213,,,,0.0,2,0.0,-0.09582702781744187,118156.125,1181561.25,2,,2,80.88132578479527,0.0375,4.7161033153533936,37.362675904952255,10,2
38.90137166090969,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.09186479076743,,0.08199323645167712,0.08199323645167712,2,0.0,38.90137166090969,0.8432004077645132,True,0.1303574334495295,1.2006363320874,0.1,5,3.0,4.0,0.1,2,28.859050718521022,0.0,0.25814824808554926,,,,0.0,2,0.0,-0.1061753349506033,124216.0,1242160.0,3,,2,81.99323645167712,0.03125,4.532880783081055,38.90137166090969,10,2
40.31319855497329,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,42.88749676197767,,0.08305070767895428,0.08305070767895428,3,0.0,40.31319855497329,0.8430859053711695,True,0.14437013017452865,1.3296980384539183,0.1,5,3.0,4.0,0.1,2,27.245069818606858,0.0,0.3241650180286741,,,,0.0,2,0.0,-0.11371041892674147,121718.7,1217187.0,1,,2,83.05070767895428,0.0125,4.582974195480347,40.31319855497328,10,2
35.49611870551904,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,42.963973712176085,,0.07846009241769512,0.07846009241769512,3,0.0,35.49611870551904,0.8317767199800915,True,0.11077272985008847,1.0202545458522811,0.1,5,3.0,4.0,0.1,2,27.7831833904939,0.0,0.21728954027376263,,,,0.0,2,0.0,-0.0946164111338918,121502.5,1215025.0,2,,2,78.46009241769512,0.0375,4.629523754119873,35.49611870551904,10,2
34.166514246810046,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.1841341778636,,0.07735064842467365,0.07735064842467365,3,0.0,34.166514246810046,0.9002117480000391,True,0.1303574334495295,1.2006363320874,0.1,5,3.0,4.0,0.1,2,26.240190198895355,0.0,0.23199100706197245,,,,0.0,2,0.0,-0.10385404093710157,125566.075,1255660.75,3,,2,77.35064842467365,0.01875,4.604223012924194,34.166514246810046,10,2
32.989670357061485,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.28051581978798,,0.07627018617684947,0.07627018617684947,4,0.0,32.989670357061485,0.8375625074303817,True,0.14437013017452865,1.3296980384539183,0.1,5,3.0,4.0,0.1,2,27.57429308158216,0.0,0.16415372499531986,,,,0.0,2,0.0,-0.11032015817568906,124705.1,1247051.0,1,,2,76.27018617684946,0.025,4.471288442611694,32.98967035706149,10,2
