activation_l1_bytes_total,activation_l2_bytes_total,actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,client_local_steps,cluster_load_cv,cluster_physics_prior_std,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,cumulative_global_delay_ms,delay,delay_normalized,downlink_delay_ms,downlink_payload_bytes_per_client_mean,downlink_payload_bytes_total,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,global_round_delay_ms,gradient_l1_bytes_total,gradient_l2_bytes_total,is_warmup,kl_normalized,kl_sum,label_kl_weighted_to_station,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,optimizer_steps,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,paper_local_frequency_mean,pcsfl_clustering_factor,pcsfl_execution_group_count,pcsfl_learning_reward,pcsfl_waiting_factor,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,reward_objective_mode,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,split_physics_prior_std,split_predicted_delay_min_seconds,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,uplink_delay_ms,uplink_payload_bytes_per_client_mean,uplink_payload_bytes_total,vehicle_count,virtual_cluster_count
75721248.0,41943040.0,3644.163364995027,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,93.55499129742384,,0.0,7.368954977921654,7.368954977921654,3644.163364995027,11766428.8,117664288.0,1,0.0,3644.163364995027,0.7775809187204132,7368.954977921654,75721248.0,41943040.0,True,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2844.42933121654,0.0,0.21945614224119142,1.0,,,,,0.0,2,0.0,-7.368954977921654,delay_only,7572124.8,75721248.0,0.0,0.0,1,,2,7368.954977921654,0.05625,4.439256370067596,7288.326729990054,3644.163364995027,11766428.8,117664288.0,10,2
52594992.0,41943040.0,2752.3309397181574,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.71149677783251,,0.0,5.5783313325878385,5.5783313325878385,2752.3309397181574,9453803.2,94538032.0,1,0.0,2752.3309397181574,0.573200246969268,7368.954977921654,52594992.0,41943040.0,True,0.11061153918238466,1.018769924937943,0.2512961040358081,0.1,5,3.0,4.0,0.1,2,8,2207.9562615147074,0.0,0.19778678150498666,1.0,,,,,0.0,2,0.0,-5.5783313325878385,delay_only,5259499.2,52594992.0,0.0,0.0,2,,2,5578.331332587839,0.0125,4.6357099413871765,5504.661879436315,2752.3309397181574,9453803.2,94538032.0,10,2
73944416.0,41943040.0,2941.959628724451,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.91119282692671,,0.0,5.9578304502758295,5.9578304502758295,2941.9596287244512,11588745.6,115887456.0,1,0.0,2941.959628724451,0.7629816890492024,7368.954977921654,73944416.0,41943040.0,True,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2572.59693979862,0.0,0.1255498835944176,1.0,,,,,0.0,2,0.0,-5.9578304502758295,delay_only,7394441.6,73944416.0,0.0,0.0,3,,2,5957.830450275829,0.0203125,4.5350841879844666,5883.9192574489025,2941.9596287244512,11588745.6,115887456.0,10,2
55841456.0,41943040.0,2892.7685591471727,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.70385667309165,,0.0,5.859240974967437,5.859240974967437,2892.7685591471727,9778449.6,97784496.0,2,0.0,2892.7685591471727,0.6082724282287459,6089.874457416063,55841456.0,41943040.0,True,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2420.0673516116567,0.0,0.16340789035500125,1.0,,,,,0.0,2,0.0,-5.859240974967437,delay_only,5584145.6,55841456.0,0.0,0.0,1,,2,5859.240974967437,0.0375,4.325279593467712,5785.537118294345,2892.7685591471727,9778449.6,97784496.0,10,2
75970208.0,41943040.0,2764.359551840632,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.87333363294601,,0.0,5.602580195544628,5.602580195544628,2764.359551840632,11791324.8,117913248.0,2,0.0,2764.359551840632,0.8159917104109576,6089.874457416063,75970208.0,41943040.0,True,0.11061153918238466,1.018769924937943,0.2512961040358081,0.1,5,3.0,4.0,0.1,2,8,2480.719897622006,0.0,0.10260591970742958,1.0,,,,,0.0,2,0.0,-5.602580195544628,delay_only,7597020.8,75970208.0,0.0,0.0,2,,2,5602.580195544628,0.0203125,4.420301139354706,5528.719103681264,2764.359551840632,11791324.8,117913248.0,10,2
69163744.0,41943040.0,3008.122870622637,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.62871617078781,,0.0,6.089874457416062,6.089874457416062,3008.1228706226375,11110678.4,111106784.0,2,0.0,3008.122870622637,0.7319828308660021,6089.874457416063,69163744.0,41943040.0,True,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2501.164584777634,0.0,0.16852978008177902,1.0,,,,,0.0,2,0.0,-6.089874457416062,delay_only,6916374.4,69163744.0,0.0,0.0,3,,2,6089.874457416063,0.0359375,4.356339991092682,6016.245741245275,3008.1228706226375,11110678.4,111106784.0,10,2
71229568.0,41943040.0,3025.2283886700384,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.67120776325464,,0.0,6.124033064240866,6.124033064240866,3025.228388670039,11317260.8,113172608.0,3,0.0,3025.2283886700384,0.7511835564938686,6227.077026880089,71229568.0,41943040.0,True,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2475.746066606659,0.0,0.18163333522892952,1.0,,,,,0.0,2,0.0,-6.124033064240866,delay_only,7122956.8,71229568.0,0.0,0.0,1,,2,6124.033064240866,0.0296875,4.348410427570343,6050.456777340078,3025.228388670039,11317260.8,113172608.0,10,2
65058208.0,41943040.0,2988.5725877127315,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,73.5348598100245,,0.0,6.05059859945824,6.05059859945824,2988.5725877127315,10700124.8,107001248.0,3,0.0,2988.5725877127315,0.6952585936218416,6227.077026880089,65058208.0,41943040.0,True,0.11061153918238466,1.018769924937943,0.2512961040358081,0.1,5,3.0,4.0,0.1,2,8,2539.5216109498892,0.0,0.15025600469236658,1.0,,,,,0.0,2,0.0,-6.05059859945824,delay_only,6505820.8,65058208.0,0.0,0.0,2,,2,6050.598599458241,0.0453125,4.374594628810883,5977.145175425463,2988.5725877127315,10700124.8,107001248.0,10,2
73485872.0,41943040.0,3073.4751182751374,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,80.12679032981396,,0.0,6.227077026880089,6.227077026880089,3073.4751182751374,11542891.2,115428912.0,3,0.0,3073.4751182751374,0.7798211771303009,6227.077026880089,73485872.0,41943040.0,True,0.1313842372951097,1.210093545000448,0.33254382035375346,0.1,5,3.0,4.0,0.1,2,8,2652.1911156996644,0.0,0.13707090064613947,1.0,,,,,0.0,2,0.0,-6.227077026880089,delay_only,7348587.2,73485872.0,0.0,0.0,3,,2,6227.077026880089,0.0359375,4.375882387161255,6146.950236550275,3073.4751182751374,11542891.2,115428912.0,10,2
71018112.0,41943040.0,2763.585755802581,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,79.43261926993728,,0.0,5.6064470311922605,5.6064470311922605,2763.5857558025805,11296115.2,112961152.0,4,0.0,2763.585755802581,0.7556356714892256,6032.2638485206,71018112.0,41943040.0,True,0.13856060132586975,1.276190300356955,0.31876245537547265,0.1,5,3.0,4.0,0.1,2,8,2406.9626495696607,0.0,0.12904361859737268,1.0,,,,,0.0,2,0.0,-5.6064470311922605,delay_only,7101811.2,71018112.0,0.0,0.0,1,,2,5606.4470311922605,0.0359375,4.322559595108032,5527.171511605161,2763.5857558025805,11296115.2,112961152.0,10,2
