policy_loss,value_loss,entropy,approx_kl,clip_fraction,cluster_policy_loss,cluster_approx_kl,cluster_clip_fraction,bandwidth_policy_loss,bandwidth_approx_kl,bandwidth_clip_fraction,split_policy_loss,split_approx_kl,split_clip_fraction,cluster_entropy,bandwidth_entropy,split_entropy_component,grad_norm_pre,grad_norm_post,grad_norm,grad_norm_pre_max,grad_norm_post_max,ppo_epochs_run,kl_early_stop,episode_count,transition_count,policy_version_count,target_drift_during_update,component_balanced_ppo,encoder_grad_norm_pre,encoder_grad_norm_post,value_head_grad_norm_pre,value_head_grad_norm_post,decoder_grad_norm_pre,decoder_grad_norm_post,bandwidth_head_grad_norm_pre,bandwidth_head_grad_norm_post,split_head_grad_norm_pre,split_head_grad_norm_post,cluster_policy_grad_norm,bandwidth_policy_grad_norm,split_policy_grad_norm,bandwidth_actor_gradient_share,bandwidth_latent_mean_abs,bandwidth_latent_mean_std,bandwidth_channel_weight,bandwidth_channel_weight_drift,bandwidth_mean_head_parameter_drift,bandwidth_physical_weight,bandwidth_effective_physical_coefficient,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_alpha_max,bandwidth_context_score_std,bandwidth_physical_score_std,online_value_mean,target_value_mean,online_target_value_drift,station_1_return_mean,station_1_return_std,station_1_td_residual_mean,station_1_td_residual_std,station_1_explained_variance,station_2_return_mean,station_2_return_std,station_2_td_residual_mean,station_2_td_residual_std,station_2_explained_variance,station_3_return_mean,station_3_return_std,station_3_td_residual_mean,station_3_td_residual_std,station_3_explained_variance,cycle
-0.015027934551180806,6.68854359857242e-05,-24.191493860880534,0.004668306956688563,0.05500000000000001,0.0,0.0,0.0,-0.015027934551180806,0.004668306956688563,0.05500000000000001,0.0,0.0,0.0,0.9561596616854271,-24.191493860880534,2.378995100905498,22.900452136993408,0.4999999672174454,22.900452136993408,34.563011169433594,0.5,10,False,8,480,1,0.0,True,0.009925720212049783,0.0002380442294452223,0.009172500367276371,0.00021989020788169,0.0,0.0,22.90044641494751,0.49999983310699464,0.0,0.0,0.0,26.963089656829833,0.0,1.0,0.0999999960915496,0.018144223153128036,0.0,0.0,0.0,0.0009994226275011897,0.00999422650784254,22.5,22.5,22.5,0.0,0.0,-0.02016544295862938,-0.015086102846544236,0.005079340112085144,-0.013932581059634686,0.005782565101981163,0.0011250317329540849,0.005728110671043396,0.01419241008758132,-0.017602842301130295,0.00799643062055111,-0.0014447846915572882,0.007874093018472195,0.030147394519849935,-0.011323248036205769,0.0046700709499418736,0.0027193862479180098,0.004766268655657768,-0.041581938236790794,1
-0.01403055748938641,5.928156541002309e-05,-24.191856053670246,0.004206905961036683,0.04375,0.0,0.0,0.0,-0.01403055748938641,0.004206905961036683,0.04375,0.0,0.0,0.0,0.9505923460051416,-24.191856053670246,2.422137348353863,26.001146221160887,0.4999999701976776,26.001146221160887,34.6028938293457,0.5,10,False,8,480,1,0.0,True,0.010601323447190225,0.00022279848635662348,0.009878279874101281,0.00020828681626881008,0.0,0.0,26.001141452789305,0.49999986588954926,0.0,0.0,0.0,27.838822841644287,0.0,1.0,0.09999999612569808,0.01794628725539459,0.0,0.0,0.0,0.0019989570137113333,0.01998957060277462,22.5,22.13479995727539,23.169099807739258,0.0017310132971033454,0.00928186159580946,-0.012694066457333975,-0.020165443593092882,0.007471377135758909,-0.013660648837685585,0.005624215584248304,0.0064644343219697475,0.005698454100638628,-0.031104727790609354,-0.017436882480978966,0.007263576611876488,0.003887420054525137,0.007140130270272493,0.03660053446763789,-0.011217040941119194,0.00458914041519165,0.00782990176230669,0.004668677691370249,-0.04010909527493345,2
-0.015595706925087141,4.103684339827705e-05,-24.19266668955485,0.003757093449433645,0.03874999999999999,0.0,0.0,0.0,-0.015595706925087141,0.003757093449433645,0.03874999999999999,0.0,0.0,0.0,0.9503199871381124,-24.19266668955485,2.383654926866293,30.22858009338379,0.4999999672174454,30.22858009338379,35.99015426635742,0.5,10,False,8,480,1,0.0,True,0.007663124334067106,0.00012730296912195628,0.007084535865578801,0.00011824062694358873,0.0,0.0,30.228578186035158,0.4999999403953552,0.0,0.0,0.0,31.110209465026855,0.0,1.0,0.09999999614898115,0.01798687309190737,0.0,0.0,0.0,0.002997872419655323,0.02997872419655323,22.5,21.723649978637695,23.73108673095703,0.004502704832702875,0.01856476068496704,-0.007593392262303193,-0.012694066369052355,0.005100674106749163,-0.013743633404374123,0.005709558725357056,-0.0011360477656126022,0.005765955895185471,-0.034560586851340114,-0.017084704712033272,0.007095218636095524,-0.0030032338108867407,0.006936425343155861,0.0458935623279183,-0.011285381391644478,0.00470551336184144,0.00010776284761959687,0.004797940608114004,-0.057769063532939535,3
-0.015536291812216708,2.2275757867207605e-05,-24.19390734354655,0.0026401315629482275,0.021666666666666667,0.0,0.0,0.0,-0.015536291812216708,0.0026401315629482275,0.021666666666666667,0.0,0.0,0.0,0.9496521427358191,-24.19390734354655,2.426528707767526,30.68290767669678,0.49999994933605196,30.68290767669678,36.3178596496582,0.5,10,False,8,480,1,0.0,True,0.00414550049463287,6.938379956409336e-05,0.003887631927500479,6.512313161692873e-05,0.0,0.0,30.682906723022462,0.49999994933605196,0.0,0.0,0.0,30.984069442749025,0.0,1.0,0.09999999614587675,0.017950759324474926,0.0,0.0,0.0,0.0039997161366045475,0.0399971604347229,22.5,21.40760612487793,24.27853775024414,0.0025351550430059433,0.02784191071987152,-0.013316179101821035,-0.007593391480016484,0.0057227876218045514,-0.013277026824653149,0.005325255449861288,-0.005826371721923351,0.005356806330382824,-0.019062801619668335,-0.016570670530200005,0.006476016249507666,-0.007251278962939978,0.0063259294256567955,0.04459920982202514,-0.010840284638106823,0.0046456726267933846,-0.004830156918615103,0.004683682229369879,-0.02221535660013907,4
-0.018596453322843442,1.817828237430692e-05,-24.195615056355795,0.0033563148354490598,0.03625,0.0,0.0,0.0,-0.018596453322843442,0.0033563148354490598,0.03625,0.0,0.0,0.0,0.9484796618546047,-24.195615056355795,2.3612725964436927,31.561680793762207,0.49999997913837435,31.561680793762207,38.29762649536133,0.5000000596046448,10,False,8,480,1,0.0,True,0.002645291512453696,4.52723648322717e-05,0.0025499677380139475,4.360168987886937e-05,0.0,0.0,31.561680793762207,0.49999997317790984,0.0,0.0,0.0,32.83957204818726,0.0,1.0,0.09999999618157744,0.018329931830520972,0.0,0.0,0.0,0.005001159850507975,0.05001159757375717,22.5,21.06852149963379,25.059364318847656,0.0034794039092957973,0.03714625537395477,-0.014970361453985484,-0.013316179600466663,0.0016541818535188214,-0.013071241788566113,0.005177635233849287,9.369675535708666e-05,0.005242456682026386,-0.030645057630725336,-0.0164773091673851,0.006496754474937916,-0.0013386523351073265,0.006347316317260265,0.04485365608896774,-0.011088373139500618,0.0044243186712265015,0.0005565695464611053,0.004574527498334646,-0.07553725353807539,5
-0.019900566380238162,1.6491229190334136e-05,-24.197907587687176,0.005333462804555893,0.06958333333333333,0.0,0.0,0.0,-0.019900566380238162,0.005333462804555893,0.06958333333333333,0.0,0.0,0.0,0.9438004916409651,-24.197907587687176,2.3535345525046187,30.729707050323487,0.49999997615814207,30.729707050323487,44.22270965576172,0.5,10,False,8,480,1,0.0,True,0.0014159915474010632,2.74943663043814e-05,0.0012759493889461736,2.530469269004243e-05,0.0,0.0,30.729707050323487,0.4999999821186066,0.0,0.0,0.0,29.507178211212157,0.0,1.0,0.09999999615053336,0.018258788182318002,0.0,0.0,0.0,0.005999441724270582,0.0599944181740284,22.5,20.747379302978516,25.631807327270508,0.005595901049673557,0.04644688963890076,-0.01401397683560693,-0.014970362303817335,0.0009563854682104041,-0.01289183460175991,0.005004459526389837,0.0019154436886310577,0.005064137279987335,-0.02641599811415718,-0.016110971570014954,0.006901121232658625,0.0007735962281003594,0.006826701108366251,0.020714648636176225,-0.010569028556346893,0.004456150811165571,0.0026502099353820086,0.004544165451079607,-0.04259627880282113,6
-0.01297742505038817,1.4223212664419533e-05,-24.20067859649658,0.0027374832704663275,0.022083333333333333,0.0,0.0,0.0,-0.01297742505038817,0.0027374832704663275,0.022083333333333333,0.0,0.0,0.0,0.9439761561031144,-24.20067859649658,2.3791741166015465,27.25311622619629,0.49999997913837435,27.25311622619629,31.254688262939453,0.5,10,False,8,480,1,0.0,True,0.0010194780654273928,1.9135335332975955e-05,0.0007697245840972755,1.4391371928468289e-05,0.0,0.0,27.25311622619629,0.49999997913837435,0.0,0.0,0.0,27.40944023132324,0.0,1.0,0.09999999621883035,0.018749206281999758,0.0,0.0,0.0,0.006998308934271336,0.0699830874800682,22.5,20.268814086914062,26.51247215270996,0.014533293433487415,0.055718157440423965,-0.013491385293309576,-0.014013977334252558,0.0005225920409429819,-0.012251186184585094,0.004789826925843954,0.001586951082572341,0.005010085180401802,-0.09536354369763211,-0.01585540547966957,0.006514238193631172,0.00014575828390661627,0.006349925883114338,0.05022141165048166,-0.010269482620060444,0.0039032106287777424,0.001933148130774498,0.004075591452419758,-0.09250937338753817,7
-0.015757881978952355,1.3594004785453393e-05,-24.203594220479328,0.003118256777524948,0.03,0.0,0.0,0.0,-0.015757881978952355,0.003118256777524948,0.03,0.0,0.0,0.0,0.9514837728689114,-24.203594220479328,2.3780693314969534,29.822678756713866,0.49999997615814207,29.822678756713866,36.15352249145508,0.5,10,False,8,480,1,0.0,True,0.0004655204204027541,7.951599195621384e-06,0.0004229823625792051,7.1443050032371506e-06,0.0,0.0,29.822678756713866,0.49999997615814207,0.0,0.0,0.0,30.412560653686523,0.0,1.0,0.09999999620486051,0.01880022206823632,0.0,0.0,0.0,0.0080003272742033,0.0800032764673233,22.5,19.88320541381836,27.003034591674805,0.01563172973692417,0.06499485671520233,-0.013115230840048753,-0.013491384414373897,0.0003761535743251443,-0.012528503313660622,0.00503296684473753,0.0007780787418596447,0.005215947981923819,-0.07223309260648292,-0.015543544664978981,0.006169234402477741,-2.062508065137081e-05,0.005966943223029375,0.06500159325543353,-0.010291899554431438,0.0038653938099741936,0.0013527554692700505,0.004165996331721544,-0.16023976777844373,8
-0.01831051192763501,1.4043900920307338e-05,-24.20722246805827,0.0026258075113097827,0.023958333333333335,0.0,0.0,0.0,-0.01831051192763501,0.0026258075113097827,0.023958333333333335,0.0,0.0,0.0,0.9462454787269234,-24.20722246805827,2.3623830249160527,33.74495801925659,0.49999997317790984,33.74495801925659,42.35260772705078,0.5,10,False,8,480,1,0.0,True,0.0005657595509546808,8.379422024518134e-06,0.00034704274439718575,5.317559583772891e-06,0.0,0.0,33.74495801925659,0.49999997317790984,0.0,0.0,0.0,30.733998012542724,0.0,1.0,0.09999999629023175,0.018887906484336258,0.0,0.0,0.0,0.009002420119941235,0.0900242030620575,22.5,19.675573348999023,28.126264572143555,0.014901590533554554,0.07430083304643631,-0.012865938479080796,-0.013115230537368915,0.00024929205828811974,-0.012066846713423729,0.004652450326830149,0.0008604926988482475,0.004885257687419653,-0.09837508480954171,-0.015623858198523521,0.006488248705863953,-0.0004691881185863167,0.0063149272464215755,0.053104828778269275,-0.010194290429353714,0.004130211658775806,0.0010693920776247978,0.004340744577348232,-0.0999536996274264,9
-0.010018035579293306,1.082902394667407e-05,-24.211047960917153,0.0027639303728938104,0.0225,0.0,0.0,0.0,-0.010018035579293306,0.0027639303728938104,0.0225,0.0,0.0,0.0,0.9467659254744649,-24.211047960917153,2.3733066099633775,21.14093999862671,0.49999994337558745,21.14093999862671,24.586301803588867,0.5,10,False,8,480,1,0.0,True,0.0008332834200700745,1.9543932921806118e-05,0.00037421654269564897,8.914292993722484e-06,0.0,0.0,21.14093999862671,0.49999994337558745,0.0,0.0,0.0,21.919744396209715,0.0,1.0,0.09999999624832223,0.01959828783803723,0.0,0.0,0.0,0.010003178380429745,0.1000317856669426,22.5,19.396398544311523,28.125200271606445,0.01442109514027834,0.08360748738050461,-0.01258212426425113,-0.01286593871579195,0.0002838144515408203,-0.011835087090730667,0.004242061171680689,0.0008470018510706723,0.004367992747575045,-0.05795536618347219,-0.015340318903326988,0.005652197636663914,-0.0004688912013079971,0.005481508560478687,0.059356961190749624,-0.010065881535410881,0.0035587053280323744,0.0009784165304154158,0.003773728385567665,-0.11857393871632294,10
