available_migs,bandwidth_allocation_sum,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_size_violation,compute_delay_ms,delay,epoch,is_warmup,kl_sum,max_bandwidth_share,mean_l1,mean_l2,min_bandwidth_share,penalty,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,369.18650002917275,5.417171878677588,1,True,1.6903515909254379,0.6490975022315979,2.6,4.4,0.010151565074920654,0.0,-3.553761734801513,865075.2,8650752.0,1,,5417.171878677588,0.0265625,4.561936450004578,5047.9853786484155,10
2,1.0,100000000.0,0.0,1.0244548320770264e-08,0.0,296.4874000172131,0.6889180115639232,1,True,1.9208550815557754,0.34656620025634766,5.0,6.0,0.010178699158132076,1.0244548320770264e-08,-1.3048865568043977,131072.0,1310720.0,2,,688.9180115639232,0.0078125,4.720955932140351,392.4306115467101,10
2,1.0,100000000.0,0.0,5.4016709327697754e-08,0.0,262.14609999442473,1.0054484232218308,1,True,1.5000942326121907,0.5338254570960999,4.2,6.0,0.01009446382522583,5.4016709327697754e-08,-1.25277138193372,235929.6,2359296.0,3,,1005.4484232218308,0.0171875,4.62336802482605,743.302323227406,10
2,1.0,100000000.0,0.0,9.313225746154785e-09,0.0,296.52599996188655,2.2625428976677844,2,True,2.1005953955011574,0.46171900629997253,2.3,4.2,0.010266423225402832,9.313225746154785e-09,-2.1815691558976966,956825.6,9568256.0,1,,2262.5428976677845,0.034375,4.39442104101181,1966.016897705898,10
2,1.0,100000000.0,0.0,3.725290298461914e-09,0.0,264.26440000068396,0.6799645555528976,2,True,1.6427515007669888,0.6043046116828918,4.8,5.8,0.010028600692749023,3.725290298461914e-09,-1.1613580318852335,157286.4,1572864.0,2,,679.9645555528975,0.0328125,4.4824385166168215,608.170455621758,10
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,227.2008999134414,2.7291513142393042,2,True,1.3624302024599548,0.7019290924072266,0.7,2.9,0.010137064382433891,0.0,-2.0457907583496295,748748.8,7487488.0,3,,2729.151314239304,0.03125,4.445835065841675,2501.9504143258628,10
2,1.0,100000000.0,0.0,3.725290298461914e-08,0.0,225.68380006123334,2.452385188078915,3,True,1.45454481828405,0.7420451641082764,1.0,4.7,0.010329127311706543,3.725290298461914e-08,-1.9534650404343856,1048576.0,10485760.0,1,,2452.3851880789152,0.0328125,4.394337749481201,2226.701388017682,10
2,0.9999998807907104,100000000.0,1.1920928955078125e-07,0.0,0.0,263.1400999962352,2.4758165687475273,3,True,1.6240351926187946,0.5985351800918579,1.4,3.4,0.01010209321975708,0.0,-2.049925880683161,943718.4,9437184.0,2,,2475.8165687475275,0.0203125,4.5161807298660275,2212.6764687512923,10
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,291.7840999434702,0.5953322874398554,3,True,2.1806295567980563,0.6378763914108276,5.0,6.0,0.01016002893447876,0.0,-1.3879809221189559,131072.0,1310720.0,3,,595.3322874398555,0.0296875,4.42707667350769,318.9774324744355,10
2,1.0,100000000.0,0.0,1.955777406692505e-08,0.0,227.29810001328588,2.666052238912435,4,True,1.3515776599609997,0.6647347211837769,3.8,5.4,0.010109791532158852,1.955777406692505e-08,-2.0088149689944914,406323.2,4063232.0,1,,2666.052238912435,0.0375,4.34607195854187,2572.2262388576023,10
