available_migs,bandwidth_allocation_sum,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_size_violation,compute_delay_ms,delay,epoch,is_warmup,kl_sum,penalty,reward,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count
2,0.9999440908432007,100000000.0,5.5909156799316406e-05,0.0,0.0,365.46140001155436,88.41337284305754,1,True,1.6903515909254379,0.0,-45.05186221699149,1,,88413.37284305754,0.0265625,4.561935329437256,88321.09634310163,10
2,0.9999731183052063,100000000.0,2.6881694793701172e-05,0.0,0.0,337.66910003032535,25.812922037801926,1,True,0.2580888585322012,0.0,-13.035505448167063,2,,25812.922037801927,0.01875,4.673875093460083,25475.252937771602,10
2,0.9999348521232605,100000000.0,6.514787673950195e-05,0.0,0.0,263.68590007768944,597.4485317603217,1,True,1.5000942326121907,0.0,-299.47431299646695,3,,597448.5317603217,0.0171875,4.623359727859497,597184.845860244,10
2,0.999920666217804,100000000.0,7.933378219604492e-05,0.0,0.0,265.02379996236414,61.73163256279038,2,True,1.6418686111275824,0.0,-31.686750586958983,1,,61731.63256279038,0.028125,4.393153786659241,61466.608762828015,10
2,0.9999937415122986,100000000.0,6.258487701416016e-06,0.0,0.0,265.608899993822,1603.769542819819,2,True,1.4948350575244018,0.0,-802.6321889386717,2,,1603769.542819819,0.0109375,4.476335883140564,1603696.8908198164,10
2,0.9999960660934448,100000000.0,3.933906555175781e-06,0.0,0.0,335.36190004087985,951.1429059309614,2,True,0.2725029520760624,0.0,-475.70770444151873,3,,951142.9059309615,0.0328125,4.445938229560852,950807.5440309206,10
2,0.9994537234306335,100000000.0,0.0005462765693664551,0.0,0.0,264.1247999272309,2.895713312873586,3,True,1.5070664786867494,0.0,-2.2013898957801676,1,,2895.713312873586,0.0359375,4.393874931335449,2631.588512946355,10
2,0.9999644756317139,100000000.0,3.552436828613281e-05,0.0,0.0,295.4627000144683,207.22908482035365,3,True,1.9206827485103184,0.0,-104.57488378443199,2,,207229.08482035366,0.025,4.451477265357971,206933.6221203392,10
2,0.9999242424964905,100000000.0,7.575750350952148e-05,0.0,0.0,294.6174000389874,91.77195290477242,3,True,2.2325992085394697,0.0,-47.002276056655944,3,,91771.95290477242,0.0265625,4.424030232429504,91477.33550473343,10
2,0.9999822378158569,100000000.0,1.7762184143066406e-05,0.0,0.0,265.7358999713324,656.6179943112255,4,True,1.5083745833249065,0.0,-329.0631844472752,1,,656617.9943112255,0.03125,4.341024422645569,656545.74731128,10
2,0.9999642968177795,100000000.0,3.5703182220458984e-05,0.0,0.0,337.9625999950804,48.55649681126646,4,True,0.2580888585322012,0.0,-24.407292834899334,2,,48556.496811266465,0.0140625,4.480430722236633,48218.534211271384,10
2,0.9999608993530273,100000000.0,3.910064697265625e-05,0.0,0.0,266.56279992312193,513.1648689029554,4,True,1.4702399526522272,0.0,-257.3175544278038,3,,513164.8689029554,0.0296875,4.450196719169616,512898.30610303226,10
2,0.999988317489624,100000000.0,1.1682510375976562e-05,0.0,0.0,336.94459998514503,535.7862835625392,5,True,0.3193326949041095,0.0,-268.05280812872167,1,,535786.2835625393,0.03125,4.390778303146362,535449.3389625541,10
2,0.9999990463256836,100000000.0,9.5367431640625e-07,0.0,0.0,196.6400000383146,43248.72358686389,5,True,1.18160485907012,0.0,-21624.95259586148,2,,43248723.58686389,0.0234375,4.509182167053223,43248583.599363856,10
2,0.9999083876609802,100000000.0,9.161233901977539e-05,0.0,0.0,229.09189999336377,81.48915673074706,5,True,1.3465620823483588,0.0,-41.417859406547706,3,,81489.15673074705,0.0421875,4.437450695037842,81375.24763079753,10
2,0.9998962879180908,100000000.0,0.00010371208190917969,0.0,0.0,228.71850000228733,88.6060162636872,6,False,1.3969215379758664,0.0,-45.00146890083153,1,,88606.0162636872,0.0296875,4.400743091106415,88377.29776368491,10
2,0.9999672174453735,100000000.0,3.2782554626464844e-05,0.0,0.0,226.81449993979186,167.9267421682042,6,False,1.3409199178844116,0.0,-84.63383104304431,2,,167926.74216820422,0.025,4.476024436950683,167830.2825682357,10
2,0.9999306797981262,100000000.0,6.93202018737793e-05,0.0,0.0,226.6430000308901,38.866427453423796,6,False,1.251511168822491,0.0,-20.058969311123143,3,,38866.4274534238,0.0359375,4.339183449745178,38639.78445339291,10
