policy_loss,value_loss,entropy,approx_kl,clip_fraction,cluster_policy_loss,cluster_approx_kl,cluster_clip_fraction,bandwidth_policy_loss,bandwidth_approx_kl,bandwidth_clip_fraction,split_policy_loss,split_approx_kl,split_clip_fraction,cluster_entropy,bandwidth_entropy,split_entropy_component,grad_norm_pre,grad_norm_post,grad_norm,grad_norm_pre_max,grad_norm_post_max,ppo_epochs_run,kl_early_stop,episode_count,transition_count,policy_version_count,target_drift_during_update,component_balanced_ppo,encoder_grad_norm_pre,encoder_grad_norm_post,value_head_grad_norm_pre,value_head_grad_norm_post,decoder_grad_norm_pre,decoder_grad_norm_post,split_head_grad_norm_pre,split_head_grad_norm_post,cluster_policy_grad_norm,bandwidth_policy_grad_norm,split_policy_grad_norm,bandwidth_actor_gradient_share,bandwidth_latent_mean_abs,bandwidth_latent_mean_std,bandwidth_channel_weight,bandwidth_channel_weight_drift,bandwidth_mean_head_parameter_drift,online_value_mean,target_value_mean,online_target_value_drift,station_1_return_mean,station_1_return_std,station_1_td_residual_mean,station_1_td_residual_std,station_1_explained_variance,station_2_return_mean,station_2_return_std,station_2_td_residual_mean,station_2_td_residual_std,station_2_explained_variance,station_3_return_mean,station_3_return_std,station_3_td_residual_mean,station_3_td_residual_std,station_3_explained_variance,cycle
1.7806451069191098e-07,0.00039353864582809546,-0.49732267365713295,-2.324624216731852e-09,0.0,1.735005450124542e-07,-5.029142004694028e-09,0.0,1.7472872665772835e-07,0.0,0.0,1.7338898032903672e-07,0.0,0.0,0.9508414338032405,-2.524119200805823,2.5297820101181667,0.11767249554395676,0.11767250299453735,0.11767249554395676,0.11767249554395676,0.11767250299453735,1,False,8,480,1,0.0,False,0.02946745604276657,0.02946745604276657,0.017444627359509468,0.017444627359509468,0.10922125726938248,0.10922125726938248,0.02729262225329876,0.02729262225329876,0.13446295261383057,0.3526606857776642,0.3841991126537323,0.40474173933208696,0.0,0.0,-9.999992471421137e-05,9.999992471421137e-05,0.0005744547281353786,0.07553304367077847,0.08573357344915469,0.010200529778376221,-0.07208974659442902,0.042185235768556595,-0.01916765235364437,0.020350636914372444,-0.07125407567567232,-0.0974511206150055,0.049664489924907684,-0.022026974707841873,0.019420912489295006,-0.012725061321821718,-0.063528873026371,0.023825213313102722,-0.017079131677746773,0.020630765706300735,-0.012150086935325488,1
-6.904786763091882e-08,0.00034299692434195024,-0.5343870112827669,-2.346180368271537e-09,0.0,-6.691455685844024e-08,-5.053977269557179e-09,0.0,-5.649684074645241e-08,0.0,0.0,-6.37606717646122e-08,0.0,0.0,0.9407280504703521,-2.546722635875146,2.516203990827004,0.08250410109758377,0.08250410109758377,0.08250410109758377,0.08250410109758377,0.08250410109758377,1,False,8,480,1,0.0,False,0.05018973723053932,0.05018973723053932,0.01692296750843525,0.01692296750843525,0.055990368127822876,0.055990368127822876,0.02943822555243969,0.02943822555243969,0.10144446045160294,0.16322770714759827,0.5231733918190002,0.207182366132947,0.0015880945823516447,0.0004903374702364345,-0.00016059415065683424,6.059422594262287e-05,0.00040100523798179515,0.0644421725301072,0.07553304267736773,0.011090870147260528,-0.07614967226982117,0.04087234288454056,-0.018496593460440636,0.018455881625413895,-0.09239721292507119,-0.10535981506109238,0.05316856503486633,-0.021874692291021347,0.017110034823417664,-0.02995462549601524,-0.06565804779529572,0.026367781683802605,-0.016315888613462448,0.018378635868430138,-0.018654122796271322,2
-1.5469850040972232e-07,0.00030190925509670694,-0.5559219152511408,-2.6549279210271357e-09,0.0,-1.5544161821405093e-07,-5.712111908473538e-09,0.0,-1.4869341005881627e-07,0.0,0.0,-1.4595959025124708e-07,0.0,0.0,0.9208872523158789,-2.5389578426877657,2.514861124753952,0.08848810195922852,0.08848810195922852,0.08848810195922852,0.08848810195922852,0.08848810195922852,1,False,8,480,1,0.0,False,0.042889099568128586,0.042889099568128586,0.016322650015354156,0.016322650015354156,0.06399045139551163,0.06399045139551163,0.04036661610007286,0.04036661610007286,0.1276075839996338,0.3311951160430908,0.7148235440254211,0.28219811691929086,0.001749067862234639,0.0010754326669820192,-0.0001964940456673503,3.589989501051605e-05,0.00033485519960997824,0.05691073432875176,0.06444217270861069,0.007531438379858931,-0.07877542078495026,0.04163734242320061,-0.017742235213518143,0.016266323626041412,-0.10086228503311401,-0.11355352401733398,0.05665156990289688,-0.0216586384922266,0.016145426779985428,-0.0009034841761912382,-0.06678888946771622,0.024932999163866043,-0.015436330810189247,0.016248807311058044,-0.02125079181803957,3
-1.9349148108934363e-07,0.00027161051509028237,-0.5470122713018403,-8.154784324661731e-10,0.0,-1.927173191991945e-07,-1.7757217372441994e-09,0.0,-1.9194170211752256e-07,0.0,0.0,-1.9873744652916988e-07,0.0,0.0,0.9215764171133439,-2.5475151469310124,2.5516095449527105,0.15276242792606354,0.15276242792606354,0.15276242792606354,0.15276242792606354,0.15276242792606354,1,False,8,480,1,0.0,False,0.050887059420347214,0.050887059420347214,0.015843456611037254,0.015843456611037254,0.1295655071735382,0.1295655071735382,0.06089852750301361,0.06089852750301361,0.10704758018255234,0.5401198267936707,0.7192457318305969,0.3952829575872744,0.002501264441269558,0.0013893504662003413,-0.0001800412719603628,1.64527737069875e-05,0.00022546367399645727,0.050274742270509404,0.05691073383980741,0.006635991569298009,-0.08271291106939316,0.04162399470806122,-0.017388395965099335,0.015486648306250572,-0.1062342714837714,-0.11019458621740341,0.054246339946985245,-0.020634418353438377,0.014151233248412609,-0.0415910421232073,-0.07162114977836609,0.026509921997785568,-0.015149508602917194,0.015229119919240475,-0.034382865366467286,4
-3.2357347663491963e-07,0.00025761693892998406,-0.5562437623841106,-2.7820608492860427e-09,0.0,-3.291643224656582e-07,-6.010135136791384e-09,0.0,-3.224190246934692e-07,0.0,0.0,-3.1641393434256314e-07,0.0,0.0,0.9188570814828078,-2.5505967266857623,2.539598729958137,0.09018877148628235,0.09018877148628235,0.09018877148628235,0.09018877148628235,0.09018877148628235,1,False,8,480,1,0.0,False,0.05098549649119377,0.05098549649119377,0.015997614711523056,0.015997614711523056,0.06812313944101334,0.06812313944101334,0.025254860520362854,0.025254860520362854,0.06765174865722656,0.5677211284637451,0.32977837324142456,0.5882198549197097,0.0020552580215027977,0.0016618738801283562,-0.00020164319721516222,2.1601925254799426e-05,0.00025343209888689444,0.044464836417076485,0.05027474135470887,0.005809904937632382,-0.08859733492136002,0.046668775379657745,-0.01753353327512741,0.013599432073533535,-0.11286514297973671,-0.11847567558288574,0.06258238106966019,-0.021282946690917015,0.013938577845692635,-0.012688059138580066,-0.07357197254896164,0.028139112517237663,-0.01487569697201252,0.013594051823019981,-0.022333613992747914,5
2.0313406518350045e-07,0.0002399175037741413,-0.5581796528034223,-2.36819344689998e-09,0.0,1.9779448242237171e-07,-5.091230171709131e-09,0.0,2.0412796099359792e-07,0.0,0.0,2.0034252277885873e-07,0.0,0.0,0.9266714027772347,-2.5491909094154837,2.5204865366220472,0.10820459574460983,0.10820460319519043,0.10820459574460983,0.10820459574460983,0.10820460319519043,1,False,8,480,1,0.0,False,0.04056248441338539,0.04056248441338539,0.015410569496452808,0.015410569496452808,0.08524274826049805,0.08524274826049805,0.05058762803673744,0.05058762803673744,0.11961032450199127,0.254761278629303,0.7101116180419922,0.2349149103050949,0.0018386965849414435,0.0020332030391227674,-0.000249589909799397,4.7946712584234774e-05,0.0002270169383263803,0.03826320251294722,0.044464835842760904,0.006201633329813679,-0.0831737071275711,0.04490998759865761,-0.016370967030525208,0.013241790235042572,-0.15865621792704365,-0.11985264718532562,0.06432449072599411,-0.02067583054304123,0.013721883296966553,-0.04515771056753759,-0.07593424618244171,0.030426980927586555,-0.014609660021960735,0.012920111417770386,-0.0421674163423591,6
2.704982762224972e-08,0.00021045612603852787,-0.5518164288504825,-2.603859728759576e-09,0.0,2.720820096631845e-08,-5.61277083236759e-09,0.0,2.5586632546037435e-08,0.0,0.0,2.5881551361332336e-08,0.0,0.0,0.9343954630196094,-2.5501700510581333,2.5036247203747433,0.188198059797287,0.188198059797287,0.188198059797287,0.188198059797287,0.188198059797287,1,False,8,480,1,0.0,False,0.04767671227455139,0.04767671227455139,0.014914827421307564,0.014914827421307564,0.1754445731639862,0.1754445731639862,0.04628387838602066,0.04628387838602066,0.04415924474596977,0.4212891757488251,0.71900874376297,0.3556812255112866,0.0019858614202517117,0.0021776851205632685,-0.0003147168317809701,6.51269219815731e-05,0.00027313056855836137,0.031178186441926905,0.03826320169803997,0.007085015256113062,-0.08722492307424545,0.04727153852581978,-0.016188308596611023,0.011811242438852787,-0.1934117411508236,-0.11825462430715561,0.05919176712632179,-0.019564742222428322,0.01167924515902996,-0.005043570964513577,-0.07881543785333633,0.03307965770363808,-0.014174312353134155,0.011877491138875484,-0.03665955808335575,7
-1.885501357416312e-07,0.00019443950955796538,-0.5134078767014822,-2.319678668594172e-09,0.0,-1.9048068982859453e-07,-5.041559642445422e-09,0.0,-1.8104886597332856e-07,0.0,0.0,-1.8379141693003475e-07,0.0,0.0,0.945494877671202,-2.5470112532377245,2.5139746328194934,0.15863549709320068,0.15863549709320068,0.15863549709320068,0.15863549709320068,0.15863549709320068,1,False,8,480,1,0.0,False,0.06992379575967789,0.06992379575967789,0.014736850745975971,0.014736850745975971,0.12323635071516037,0.12323635071516037,0.06979619711637497,0.06979619711637497,0.18298467993736267,0.31278663873672485,1.0037493705749512,0.2085910791223352,0.002244628374015284,0.002427495961239835,-0.0003552824491634965,4.05656173825264e-05,0.00017842428841039287,0.023238631485340496,0.03117818575507651,0.007939554269736011,-0.0902349129319191,0.04640195518732071,-0.015776943415403366,0.010786658152937889,-0.16805252200954368,-0.11994900554418564,0.06342519819736481,-0.019351523369550705,0.010447252541780472,-0.020152932983881877,-0.08366314321756363,0.032709263265132904,-0.014063648879528046,0.010952637530863285,-0.092053839913673,8
-4.3377197774437564e-08,0.00017350661716496508,-0.5041192879318259,-2.3154050649010214e-09,0.0,-4.195862857159227e-08,-5.016724378507457e-09,0.0,-5.025613063480705e-08,0.0,0.0,-4.494492410837362e-08,0.0,0.0,0.9521059062331915,-2.52784909332792,2.546925867597262,0.11920084804296494,0.11920084804296494,0.11920084804296494,0.11920084804296494,0.11920084804296494,1,False,8,480,1,0.0,False,0.03144672513008118,0.03144672513008118,0.01418423280119896,0.01418423280119896,0.11085845530033112,0.11085845530033112,0.027002889662981033,0.027002889662981033,0.09702269732952118,0.25116249918937683,0.3812999725341797,0.3443010356405232,0.0024747665068119845,0.002608802035227854,-0.00039780783117748797,4.2525382013991475e-05,0.00013465624856197597,0.014664810489072503,0.023238631363104407,0.008573820874031905,-0.09381937980651855,0.047702111303806305,-0.015272903256118298,0.009339981712400913,-0.22473139247585205,-0.12205169349908829,0.06061480566859245,-0.01874799095094204,0.010305088944733143,-0.06354509520532536,-0.08293889462947845,0.033690501004457474,-0.013184490613639355,0.009435572661459446,-0.11120311188329124,9
3.6885709657023353e-08,0.00015637090596305712,-0.5480956424105291,-2.1434396350420807e-09,0.0,3.451762798552712e-08,-4.631777689630597e-09,0.0,3.2929286438350874e-08,0.0,0.0,3.948298399336636e-08,0.0,0.0,0.9538253753135602,-2.5694895510872207,2.4952846484879654,0.4130813181400299,0.4130813479423523,0.4130813181400299,0.4130813181400299,0.4130813479423523,1,False,8,480,1,0.0,False,0.044908344745635986,0.044908344745635986,0.013738170266151428,0.013738170266151428,0.40709996223449707,0.40709996223449707,0.05196433514356613,0.05196433514356613,0.08849290758371353,1.1652345657348633,0.6711210608482361,0.6053642897357869,0.002538269945560185,0.00264858463665543,-0.00038616909296251833,1.1638738214969635e-05,0.00022975960126864155,0.006691864929359781,0.014664809330254987,0.007972944400895207,-0.09563209861516953,0.05011413246393204,-0.014796778559684753,0.008092773146927357,-0.16366036334572343,-0.12462981045246124,0.06561460345983505,-0.018258094787597656,0.009628725238144398,-0.03826031143629982,-0.08530958741903305,0.03433502838015556,-0.012567427940666676,0.008353278040885925,-0.1374970763741854,10
