actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,channel_bandwidth_spearman,channel_permutation_delta_spearman,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
930.3775700458773,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.60459039360285,1.32298216043948,1.32298216043948,1,0.0,930.3775700458773,True,0.1300581748474689,1.1978800585031801,0.1,5,1.9,2.9,0.1,2,175.40882127356264,0.0,0.8114649074515918,0.0,2,0.0,-0.7265201676434745,486604.8,4866048.0,1,,1322.9821604394801,0.01875,4.643372964859009,930.3775700458773,10,10
280.25214393051607,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,568.5750157572329,0.848827159687749,0.848827159687749,1,0.0,280.25214393051607,True,0.12905247583393809,1.1886172282768008,0.1,7,2.0,3.0,0.1,2,96.08528839442135,0.0,0.6571469996738217,0.0,2,0.0,-0.48893981776084355,473497.6,4734976.0,2,,848.827159687749,0.0125,4.635510492324829,280.25214393051607,10,10
295.23600895071934,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,562.2184392996132,0.8574544482503326,0.8574544482503326,1,0.0,295.23600895071934,True,0.1424936930458546,1.3124154138122166,0.1,7,1.7,2.7,0.1,2,127.49374832889787,0.0,0.5681632847496625,0.0,2,0.0,-0.49997407064809357,565248.0,5652480.0,3,,857.4544482503326,0.0296875,4.642774093151092,295.23600895071934,10,10
295.9959533474994,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,544.7689569555223,0.8407649103030217,0.8407649103030217,2,0.0,295.9959533474994,True,0.13042882553207283,1.2012938774674884,0.1,7,2.0,3.0,0.1,2,106.4794544043132,0.0,0.6402671955474125,0.0,2,0.0,-0.48559686791754725,486604.8,4866048.0,1,,840.7649103030217,0.0234375,4.495220530033111,295.99595334749944,10,10
232.07322874231917,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,453.30621441826224,0.6853794431605814,0.6853794431605814,2,0.0,232.07322874231917,True,0.12020972105691183,1.1071724469544706,0.1,6,1.8,2.8,0.1,2,104.42417292941953,0.0,0.5500378329058965,0.0,2,0.0,-0.40279458210874663,512819.2,5128192.0,2,,685.3794431605814,0.0328125,4.440485191345215,232.07322874231917,10,10
274.61425247923205,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,527.5336387567222,0.8021478912359543,0.8021478912359543,2,0.0,274.61425247923205,True,0.1418680076659428,1.3066526384974595,0.1,7,1.1,2.1,0.1,2,129.86163522296778,0.0,0.5271125440483513,0.0,2,0.0,-0.47200794945094854,596377.6,5963776.0,3,,802.1478912359543,0.0265625,4.493798804283142,274.6142524792321,10,10
443.01275197549745,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,0.0,615.5366948805749,1.0585494468560726,1.0585494468560726,3,0.0,443.01275197549745,True,0.16191838215137386,1.4913234120938665,0.1,8,2.0,3.0,0.1,2,150.7405008928979,0.0,0.6597377835723448,0.0,2,0.0,-0.6102339145037232,486604.8,4866048.0,1,,1058.5494468560726,0.015625,4.428879946470261,443.01275197549757,10,10
416.0803128319892,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,464.9493359029293,0.8810296487349185,0.8810296487349185,3,0.0,416.0803128319892,True,0.12120301154708267,1.1163209904571911,0.1,6,2.0,3.0,0.1,2,137.41065769554746,0.0,0.669749677026817,0.0,2,0.0,-0.5011163301410005,473497.6,4734976.0,2,,881.0296487349185,0.0234375,4.422307538986206,416.08031283198926,10,10
220.56746944495222,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,460.66664019599557,0.6812341096409478,0.6812341096409478,3,0.0,220.56746944495222,True,0.13605889758627204,1.2531487574054143,0.1,6,1.3,2.3,0.1,2,77.93046953759782,0.0,0.6466819439253384,0.0,2,0.0,-0.4086465036136099,365363.2,3653632.0,3,,681.2341096409477,0.028125,4.458922672271728,220.56746944495222,10,10
202.96271540153253,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,541.4024535566568,0.7443651689581894,0.7443651689581894,4,0.0,202.96271540153253,True,0.13042882553207283,1.2012938774674884,0.1,7,1.2,2.2,0.1,2,74.23199179163123,0.0,0.6342579884942221,0.0,2,0.0,-0.4373969972451311,365363.2,3653632.0,1,,744.3651689581894,0.034375,4.469088315963745,202.96271540153253,10,10
