actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,channel_bandwidth_spearman,channel_permutation_delta_spearman,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
321.77939665088303,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.65888297185302,0.4429036376863146,0.4429036376863146,1,0.0,321.77939665088303,True,0.13581177849620746,1.2508727064735066,0.1,5,3.0,4.0,0.1,2,147.5463109359358,0.0,0.5414675008045425,0.0,2,0.0,-0.28935770809126105,524288.0,5242880.0,1,,442.9036376863146,0.0265625,4.563404619693756,321.779396650883,10,2
159.77732541503013,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.50172401219606,0.2911416863323898,0.2911416863323898,1,0.0,159.77732541503013,True,0.12647601289682708,1.164887127670227,0.1,5,3.0,4.0,0.1,2,115.55385459292775,0.0,0.27678189447238255,0.0,2,0.0,-0.20880884961460844,524288.0,5242880.0,2,,291.1416863323898,0.015625,4.725492775440216,159.77732541503016,10,2
152.29197165066415,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.78409964591265,0.2774634025252801,0.2774634025252801,1,0.0,152.29197165066415,True,0.1341566351004878,1.2356282724345,0.1,5,3.0,4.0,0.1,2,120.51765992606109,0.0,0.2086407535486425,0.0,2,0.0,-0.20581001881288397,524288.0,5242880.0,3,,277.4634025252801,0.0203125,4.629277884960175,152.29197165066418,10,2
145.0806870317991,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0250011831522,0.2859287822336203,0.2859287822336203,2,0.0,145.0806870317991,True,0.13581177849620746,1.2508727064735066,0.1,5,3.0,4.0,0.1,2,117.38363599060997,0.0,0.1909079120580566,0.0,2,0.0,-0.21087028036491387,524288.0,5242880.0,1,,285.92878223362027,0.0296875,4.402481555938721,145.0806870317991,10,2
190.76928267801657,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.21114967763424,0.30218310239339724,0.30218310239339724,2,0.0,190.76928267801657,True,0.12647601289682708,1.164887127670227,0.1,5,3.0,4.0,0.1,2,125.8705095180814,0.0,0.34019508931882053,0.0,2,0.0,-0.21432955764511216,524288.0,5242880.0,2,,302.18310239339723,0.0359375,4.471234977245331,190.76928267801657,10,2
145.70227045984032,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.36842722818255,0.2937782396646754,0.2937782396646754,2,0.0,145.70227045984032,True,0.1341566351004878,1.2356282724345,0.1,5,3.0,4.0,0.1,2,122.37641833868395,0.0,0.16009257815639633,0.0,2,0.0,-0.21396743738258162,524288.0,5242880.0,3,,293.7782396646754,0.0265625,4.487989246845245,145.70227045984032,10,2
177.47037280960905,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.10946045443416,0.2955798332640432,0.2955798332640432,3,0.0,177.47037280960905,True,0.13581177849620746,1.2508727064735066,0.1,5,3.0,4.0,0.1,2,115.84941813826467,0.0,0.34721826350954693,0.0,2,0.0,-0.21569580588012532,524288.0,5242880.0,1,,295.5798332640432,0.0296875,4.44858193397522,177.47037280960905,10,2
197.95690332186305,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.02976136282086,0.3429866646846839,0.3429866646846839,3,0.0,197.95690332186305,True,0.12647601289682708,1.164887127670227,0.1,5,3.0,4.0,0.1,2,123.90500121885188,0.0,0.3740809280220369,0.0,2,0.0,-0.2347313387907555,524288.0,5242880.0,2,,342.98666468468394,0.0296875,4.512104332447052,197.95690332186305,10,2
176.22360072957878,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.46557358652353,0.2811744422458351,0.2811744422458351,3,0.0,176.22360072957878,True,0.1341566351004878,1.2356282724345,0.1,5,3.0,4.0,0.1,2,115.89382844036376,0.0,0.3423478582859803,0.0,2,0.0,-0.20766553867316145,524288.0,5242880.0,3,,281.1744422458351,0.015625,4.426253318786621,176.2236007295788,10,2
289.9649932401597,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.54315314814448,0.4425081463883042,0.4425081463883042,4,0.0,289.9649932401597,True,0.13581177849620746,1.2508727064735066,0.1,5,3.0,4.0,0.1,2,131.19668698865678,0.0,0.5475430136492551,0.0,2,0.0,-0.28915996244225584,524288.0,5242880.0,1,,442.5081463883042,0.0171875,4.425571858882904,289.96499324015974,10,2
