actual_bandwidth_tx_delay_ms,allocator_bottleneck_client,allocator_bottleneck_mig,allocator_elapsed_ms,allocator_equal_total_delay_improvement,allocator_equal_total_delay_ms,allocator_equal_tx_delay_ms,allocator_floor_hit_rate,allocator_hybrid_total_delay_ms,allocator_hybrid_tx_delay_ms,allocator_oracle_gap_closure,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,channel_bandwidth_spearman,channel_permutation_delta_spearman,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
127.10634067399765,0,0,0.8722660131752491,0.15386036004241388,358.87020734824296,182.32223998509403,0.0,303.65430803714656,127.10634067399765,1.0,2,1.0,0.0,0.0,0.0,0.0,0.19310649610156788,0.0,0.10480244587224766,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.9878787878787878,0.0,0.4,2.0,0.0,240.67181535065174,0.30365430803714655,0.30365430803714655,1,0.30284785507028994,182.32223998509403,True,0.14336418811242735,1.3204329696674777,0.14344071194112507,7,3.3,5.7,0.07613251594353812,2,107.8481655558411,0.7414110176494915,0.4084749860211329,0.0,2,0.41818181818181815,-0.22350924807478695,445644.8,4456448.0,1,,303.65430803714656,0.0203125,4.6306504011154175,127.10634067399765,10,2
117.97889288203238,0,1,0.7261186838150024,0.33041445518860824,376.8814451251276,242.50597024374673,0.0,252.3543677634132,117.9788928820324,1.0,2,1.0,0.0,0.0,0.0,0.0,0.38217290343976257,0.0,0.17120248972724184,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.9515151515151514,0.0,0.0,0.0,0.0,184.97914401814342,0.2523543677634132,0.2523543677634132,1,0.5135010789076662,242.5059702437467,True,0.11829379439291055,1.0895261102512739,0.20555030168509,5,3.5,5.5,0.0703441698520419,2,97.5221303394134,0.8589031539231045,0.5978567857880269,0.0,2,0.8181818181818182,-0.18532408107816187,393216.0,3932160.0,2,,252.3543677634132,0.021875,4.684313952922821,117.97889288203238,10,2
69.53814895724892,4,1,0.6791329942643642,0.1298615736019856,267.86535297807904,82.73318288203929,0.0,233.0799367268944,69.53814895724892,1.0,2,1.0,0.0,0.0,0.0,0.0,0.49516646138108594,0.0,0.27921719133077344,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.5393939393939393,0.0,0.2,1.0,0.0,185.13217009603977,0.2330799367268944,0.2330799367268944,1,0.15948901595631587,82.73318288203929,True,0.1252642669830416,1.1537265353599113,0.1725485641885979,6,4.4,6.0,0.03167825499004909,2,51.77434447560864,0.4262121773292871,0.37420098354697245,0.0,2,0.9999999999999999,-0.179172101854968,209715.2,2097152.0,3,,233.0799367268944,0.021875,4.607370448112488,69.53814895724892,10,2
106.47070574181191,0,1,0.6787623278796673,0.1438550286491654,237.77614345749816,140.6759996709784,0.0,203.5708495283317,106.47070574181191,1.0,2,1.0,0.0,0.0,0.0,0.0,0.125589316896849,0.0,0.06340552257839717,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.38181818181818183,0.0,0.2,1.0,0.0,137.38819770514965,0.2035708495283317,0.2035708495283317,2,0.24314946408177582,140.67599967097837,True,0.12016332325895972,1.1067451074428214,0.13212648370352054,6,3.6,5.6,0.0858802190393376,2,83.91617508157385,0.6026321289152052,0.4034790918291526,0.0,2,0.9636363636363635,-0.16186708639364572,367001.6,3670016.0,1,,203.5708495283317,0.040625,4.522684550285339,106.47070574181191,10,2
101.80738538036842,0,1,0.7277550175786018,0.20924456834988525,273.12343978089007,149.10405865636375,0.0,215.97384351770182,101.8073853803684,1.0,2,1.0,0.0,0.0,0.0,0.0,0.41853919658058963,0.0,0.2344320965349178,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.7212121212121211,0.0,0.0,0.0,0.0,124.01938112452626,0.21597384351770182,0.21597384351770182,2,0.3172058071537727,149.10405865636375,True,0.11863028981835794,1.0926253476532573,0.16214988895137034,5,3.5,6.0,0.04655057477418461,2,95.05666081886464,0.8750962149593076,0.36248106406050784,0.0,2,0.9878787878787878,-0.16730206666802988,393216.0,3932160.0,2,,215.97384351770182,0.025,4.532883286476135,101.8073853803684,10,2
294.4973203665861,4,0,0.6729662418365479,0.2010903926736161,489.9151066170064,299.4686529823569,0.0,391.39788545065613,294.4973203665861,1.0,2,1.0,0.0,0.0,0.0,0.0,0.2087027879263863,0.0,0.10852541402839855,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.19999999999999998,0.0,0.4,2.0,0.0,190.44645363464952,0.39139788545065607,0.39139788545065607,2,0.01660051082563105,299.46865298235684,True,0.12129307741580339,1.1171505277640066,0.1490253890087003,7,1.7,3.0,0.07554787681294765,2,223.92971396911454,0.06581152291402008,0.25224322566306356,0.0,2,0.19999999999999998,-0.2563454814332297,1048576.0,10485760.0,3,,391.3978854506561,0.0296875,4.484817385673523,294.4973203665861,10,2
127.77608818491545,1,1,0.6759767420589924,0.16930954856084343,250.48626075898284,92.40375320826641,0.0,208.07654502918575,127.77608818491545,1.0,2,1.0,0.0,0.0,0.0,0.0,0.43532888041421175,0.0,0.23848214415456087,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.7212121212121211,0.0,0.4,2.0,0.0,158.0825075507164,0.20807654502918574,0.20807654502918574,3,-0.38280192901823223,92.40375320826641,True,0.1338660514075832,1.2329518977163028,0.18482954741965268,7,4.0,6.0,0.03978047250736915,2,60.36443336652018,-1.104028897971798,0.3467318017865967,0.0,2,0.7212121212121211,-0.17097129821838447,262144.0,2621440.0,1,,208.07654502918575,0.0171875,4.504812753200531,127.77608818491545,10,2
158.67645918291544,7,0,0.8080517873167992,0.23907743020464814,340.65068042628565,213.40996441222828,0.0,259.20879115250443,158.67645918291544,1.0,2,1.0,0.0,0.0,0.0,0.0,0.2997918446818972,0.0,0.16326115397882593,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.9393939393939393,0.0,0.2,1.0,0.0,127.2407160140574,0.25920879115250445,0.25920879115250445,3,0.25647117921630025,213.40996441222828,True,0.1163608353460889,1.071722899504956,0.16171332664232696,6,3.0,5.6,0.06856722142720645,2,141.07298428511544,0.7566462566329615,0.3389578379170001,0.0,2,0.9393939393939393,-0.1877848132492967,524288.0,5242880.0,2,,259.20879115250443,0.0171875,4.489794135093689,158.67645918291547,10,2
124.45102534447126,0,1,0.7322970777750015,0.06464471470745915,232.08169878156863,30.640270695622867,0.0,217.07884357501166,124.45102534447126,1.0,2,1.0,0.0,0.0,0.0,0.0,0.6596053180580133,0.0,0.3521130864753788,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.8181818181818182,0.0,0.4,2.0,0.0,206.82369451969862,0.21707884357501167,0.21707884357501167,3,-3.061681653558296,30.640270695622863,True,0.1401928822926964,1.2912241636441268,0.2462958278386428,7,1.5,3.2,0.019279752048718648,2,17.832738794877578,-7.3246551619668,0.4179966955244594,0.0,2,-0.16363636363636364,-0.17863586293385403,73728.0,737280.0,3,,217.07884357501166,0.009375,4.51613347530365,124.45102534447126,10,2
89.57069815848864,0,1,0.7018581964075565,0.27993117879753826,245.26728148561028,130.1174146960309,0.0,176.60932225887578,89.57069815848865,1.0,2,1.0,0.0,0.0,0.0,0.0,0.4174522044585134,0.0,0.20271227432687766,100000000.0,0.10000000149011612,0.0,0.0,0.0,-0.6727272727272726,0.0,0.2,1.0,0.0,115.14986678957939,0.17660932225887577,0.17660932225887577,4,0.31161637073918197,130.1174146960309,True,0.11858594374506991,1.092216905224114,0.2117126058187,6,4.0,5.0,0.05702491559166605,2,69.60407093757692,0.6700458778048883,0.46506721563612397,0.0,2,0.6727272727272726,-0.14759763300197284,262144.0,2621440.0,1,,176.60932225887578,0.028125,4.465929579734802,89.57069815848865,10,2
