policy_loss,value_loss,entropy,approx_kl,clip_fraction,cluster_policy_loss,cluster_approx_kl,cluster_clip_fraction,bandwidth_policy_loss,bandwidth_approx_kl,bandwidth_clip_fraction,split_policy_loss,split_approx_kl,split_clip_fraction,cluster_entropy,bandwidth_entropy,split_entropy_component,grad_norm_pre,grad_norm_post,grad_norm,grad_norm_pre_max,grad_norm_post_max,ppo_epochs_run,kl_early_stop,episode_count,transition_count,policy_version_count,target_drift_during_update,component_balanced_ppo,encoder_grad_norm_pre,encoder_grad_norm_post,value_head_grad_norm_pre,value_head_grad_norm_post,decoder_grad_norm_pre,decoder_grad_norm_post,bandwidth_head_grad_norm_pre,bandwidth_head_grad_norm_post,split_head_grad_norm_pre,split_head_grad_norm_post,cluster_policy_grad_norm,bandwidth_policy_grad_norm,split_policy_grad_norm,bandwidth_actor_gradient_share,bandwidth_latent_mean_abs,bandwidth_latent_mean_std,bandwidth_channel_weight,bandwidth_channel_weight_drift,bandwidth_mean_head_parameter_drift,bandwidth_physical_weight,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_alpha_max,bandwidth_context_score_std,bandwidth_physical_score_std,online_value_mean,target_value_mean,online_target_value_drift,station_1_return_mean,station_1_return_std,station_1_td_residual_mean,station_1_td_residual_std,station_1_explained_variance,station_2_return_mean,station_2_return_std,station_2_td_residual_mean,station_2_td_residual_std,station_2_explained_variance,station_3_return_mean,station_3_return_std,station_3_td_residual_mean,station_3_td_residual_std,station_3_explained_variance,cycle
-0.0037876817568515734,7.759992360663659e-05,-24.191466229756674,0.003429207975665729,0.03229166666666667,0.0,0.0,0.0,-0.0037876817568515734,0.003429207975665729,0.03229166666666667,0.0,0.0,0.0,0.9562780326977374,-24.191466229756674,2.3788856375714147,3.730487418174744,0.4999998688697815,3.730487418174744,4.2004594802856445,0.49999991059303284,10,False,8,480,1,0.0,True,0.011632058443501592,0.0016115191639983096,0.010727660881821066,0.0014856648311251774,0.0,0.0,3.730439305305481,0.49999319911003115,0.0,0.0,0.0,4.579907345771789,0.0,1.0,0.0999999960915496,0.018144223153128036,0.0,0.0,0.0,0.0009986432269215584,22.5,22.5,22.5,0.0,0.0,-0.007371251304236163,-0.015086102846544236,0.007714851542308073,-0.013932581059634686,0.005782565101981163,0.0011250317329540849,0.005728110671043396,0.015886222780988057,-0.017602842301130295,0.00799643062055111,-0.0014447846915572882,0.007874093018472195,0.03223163615595925,-0.011323248036205769,0.0046700709499418736,0.0027193862479180098,0.004766268655657768,-0.04844444410120108,1
-0.0024975594110204233,3.277253598596295e-05,-24.19141690572103,0.0022698628033200902,0.015416666666666665,0.0,0.0,0.0,-0.0024975594110204233,0.0022698628033200902,0.015416666666666665,0.0,0.0,0.0,0.9514542675266663,-24.19141690572103,2.4174714990705253,3.3418673038482667,0.4999998450279236,3.3418673038482667,3.426551103591919,0.49999988079071045,10,False,8,480,1,0.0,True,0.005947533680591732,0.0008850626647472382,0.005590218096040189,0.000831862939230632,0.0,0.0,3.3418553352355955,0.49999806880950926,0.0,0.0,0.0,4.08279321193695,0.0,1.0,0.09999999605895331,0.017908622214238137,0.0,0.0,0.0,0.0020080930553376675,22.5,22.270666122436523,22.827444076538086,0.005856860429048538,0.0009274623007513583,-0.008967966705192036,-0.007371252249625589,0.0015967144555664467,-0.013795447535812855,0.005783882923424244,-0.00650006765499711,0.0058405776508152485,-0.021348887890652923,-0.017638642340898514,0.007419453002512455,-0.008963155560195446,0.007286174688488245,0.0356357910816415,-0.011415098793804646,0.004681491758674383,-0.0052722119726240635,0.004769958555698395,-0.03405930036836957,2
-0.002011213273799513,2.4230905940988548e-05,-24.19142197926839,0.0003512694189945857,0.0,0.0,0.0,0.0,-0.002011213273799513,0.0003512694189945857,0.0,0.0,0.0,0.0,0.9521215203528604,-24.19142197926839,2.39174543025593,3.430315637588501,0.4999998599290848,3.430315637588501,3.438877582550049,0.49999991059303284,10,False,8,480,1,0.0,True,0.004181751725263893,0.0006096481112763286,0.003317443674313836,0.0004836492866161279,0.0,0.0,3.4303106546401976,0.49999913573265076,0.0,0.0,0.0,4.464267706871032,0.0,1.0,0.09999999611948927,0.017864180175383198,0.0,0.0,0.0,0.0030206807423382998,22.5,22.189796447753906,22.759565353393555,0.004838714841753244,0.0018649608828127384,-0.010876255256395477,-0.008967965507569413,0.0019082897488260642,-0.013867691159248352,0.005597393494099379,-0.004985673353075981,0.005637105088680983,-0.03235522746302788,-0.017599264159798622,0.007418293971568346,-0.007280158344656229,0.0072575840167701244,0.043490659618359406,-0.011599618010222912,0.004971066489815712,-0.0038968429435044527,0.005058254115283489,-0.05446575626379402,3
-0.0028347205174941337,1.980328999391555e-05,-24.191487464904785,0.002367534761627515,0.020416666666666666,0.0,0.0,0.0,-0.0028347205174941337,0.002367534761627515,0.020416666666666666,0.0,0.0,0.0,0.9502374677732586,-24.191487464904785,2.4296707055221,4.033822298049927,0.499999874830246,4.033822298049927,5.117486953735352,0.49999991059303284,10,False,8,480,1,0.0,True,0.002331232727738097,0.0002965549560030922,0.0019933479154133236,0.00025443193371756936,0.0,0.0,4.033820867538452,0.49999968707561493,0.0,0.0,0.0,4.653300261497497,0.0,1.0,0.0999999961288025,0.017823392805988745,0.0,0.0,0.0,0.004026784095913172,22.5,22.32015037536621,22.752349853515625,0.0021972665563225746,0.002805373864248395,-0.012456791783915833,-0.010876256608753465,0.0015805351751623676,-0.013916730880737305,0.0057559809647500515,-0.003180061001330614,0.005783189553767443,-0.02622760323563411,-0.017270419746637344,0.006935694720596075,-0.00467695901170373,0.006779723335057497,0.04266408568499225,-0.01129352580755949,0.004959881771355867,-0.001994888996705413,0.004987168591469526,-0.03061309920845634,4
-0.006413984986138531,1.8830083602094212e-05,-24.191708030700685,0.0012771975869933765,0.008333333333333333,0.0,0.0,0.0,-0.006413984986138531,0.0012771975869933765,0.008333333333333333,0.0,0.0,0.0,0.9492433922862012,-24.191708030700685,2.3580226487169664,5.458677530288696,0.49999989867210387,5.458677530288696,5.785256862640381,0.4999999403953552,10,False,8,480,1,0.0,True,0.0018677064508665353,0.0001721605280181393,0.0016501545294886455,0.00015246926177496788,0.0,0.0,5.45867691040039,0.4999998450279236,0.0,0.0,0.0,5.7230360269546505,0.0,1.0,0.09999999601704379,0.01792114188497336,0.0,0.0,0.0,0.004919034894555807,22.5,22.036502838134766,23.118227005004883,0.009459558874368668,0.0037397644482553005,-0.014606308267684654,-0.012456791955628432,0.002149516312056221,-0.013609200716018677,0.005263687577098608,-0.0013467769604176283,0.005448020529001951,-0.08844302944069726,-0.017424581572413445,0.007127690594643354,-0.0028730446938425303,0.006973221432417631,0.04155187511251612,-0.011572196148335934,0.004929994232952595,-0.0010157815413549542,0.005093973595649004,-0.08521650254287971,5
-0.0005021990920552829,1.8761908361837218e-05,-24.192090555826827,0.0006834666306773823,0.0,0.0,0.0,0.0,-0.0005021990920552829,0.0006834666306773823,0.0,0.0,0.0,0.0,0.9438642768686016,-24.192090555826827,2.3661227640012896,3.636826229095459,0.4999998450279236,3.636826229095459,3.6482086181640625,0.49999988079071045,10,False,8,480,1,0.0,True,0.0013234928715974092,0.00018192068964708596,0.000884698994923383,0.00012164383333583828,0.0,0.0,3.6368257999420166,0.49999979734420774,0.0,0.0,0.0,4.182518792152405,0.0,1.0,0.09999999600152175,0.017473216072523428,0.0,0.0,0.0,0.005866581574082375,22.5,21.82402229309082,23.28606414794922,0.01560257375240326,0.004568417556583881,-0.014125546940097896,-0.01460630739456974,0.0004853082112579917,-0.013921570964157581,0.006003112532198429,0.00045985536416992545,0.006135848350822926,-0.05669737801444241,-0.017176147550344467,0.007123918272554874,-0.0002542406436987221,0.007042040582746267,0.017836670998037207,-0.011159377172589302,0.004546547308564186,0.001356213935650885,0.004684010054916143,-0.08621856152384666,6
-0.0017074527726072119,1.7765656208565358e-05,-24.192124010721844,0.00015597439060608545,0.0,0.0,0.0,0.0,-0.0017074527726072119,0.00015597439060608545,0.0,0.0,0.0,0.0,0.939613083228469,-24.192124010721844,2.350037457024057,3.6048914909362795,0.499999862909317,3.6048914909362795,3.6492056846618652,0.49999991059303284,10,False,8,480,1,0.0,True,0.0010783528385218232,0.0001495356707891915,0.0005000051307433751,6.942510772205424e-05,0.0,0.0,3.604891276359558,0.49999983310699464,0.0,0.0,0.0,4.2811185121536255,0.0,1.0,0.09999999607757976,0.017942100520085512,0.0,0.0,0.0,0.006894869729876518,22.5,21.634902954101562,23.60807991027832,0.01763271912932396,0.005448425654321909,-0.013713928393553943,-0.014125546409438054,0.00041161801588411134,-0.013339701108634472,0.00573793426156044,0.00052332051564008,0.006006665527820587,-0.0927508178164358,-0.017403142526745796,0.006869714241474867,-0.0006940030725672841,0.006706930696964264,0.04754058506185799,-0.01128834206610918,0.004574505612254143,0.0005161380977369845,0.004879757761955261,-0.1351746748844429,7
-0.0038906982403326155,1.8372240838036498e-05,-24.192551104227704,0.0027702109018961584,0.026041666666666668,0.0,0.0,0.0,-0.0038906982403326155,0.0027702109018961584,0.026041666666666668,0.0,0.0,0.0,0.9407751278082529,-24.192551104227704,2.334892220571637,3.853016567230225,0.4999998718500137,3.853016567230225,4.1790571212768555,0.49999991059303284,10,False,8,480,1,0.0,True,0.0012410610623192042,0.00016003776472643948,0.0003707674939505523,4.787128368661797e-05,0.0,0.0,3.8530163049697874,0.4999998420476913,0.0,0.0,0.0,4.406935000419617,0.0,1.0,0.09999999614122013,0.017999200468932372,0.0,0.0,0.0,0.007921759970486164,22.5,21.607603073120117,23.528913497924805,0.019137172028422356,0.006403419654816389,-0.01369577854735932,-0.013713927790134525,5.739291567200174e-05,-0.013585242442786694,0.005633713211864233,-0.00012913139653392136,0.005877611227333546,-0.08257716368912993,-0.01736595667898655,0.007249333895742893,-0.001096320804208517,0.007094983011484146,0.043368463317001726,-0.011234225705265999,0.00459812069311738,0.00018181229825131595,0.004925847519189119,-0.13983068842073454,8
-0.0038291522983733258,1.8287608962328178e-05,-24.193203264872235,0.0013091535121202466,0.006875000000000001,0.0,0.0,0.0,-0.0038291522983733258,0.0013091535121202466,0.006875000000000001,0.0,0.0,0.0,0.9419750181585551,-24.193203264872235,2.348455194408695,4.309420871734619,0.4999998778104782,4.309420871734619,4.447563648223877,0.4999999403953552,10,False,8,480,1,0.0,True,0.0012155883479863406,0.00014067623196751812,0.00024159877648344263,2.779983815344167e-05,0.0,0.0,4.309420776367188,0.4999998688697815,0.0,0.0,0.0,4.716549229621887,0.0,1.0,0.09999999606516212,0.017910718381678042,0.0,0.0,0.0,0.008947981521487236,22.5,21.321945190429688,23.904590606689453,0.026271894574165344,0.007357115391641855,-0.01384104901420263,-0.013695778675416175,0.00015331179117007802,-0.013365840539336205,0.0051178401336073875,8.330457785632461e-05,0.005354378372430801,-0.10091749815287798,-0.017609992995858192,0.007365966681391001,-0.0014231258537620306,0.007234138436615467,0.03505966741607314,-0.01113040465861559,0.004654791206121445,0.00032091973116621375,0.005174029152840376,-0.2491064401360199,9
-0.005370159329274126,1.8959451664718395e-05,-24.193199386596678,0.002278897985816002,0.019166666666666665,0.0,0.0,0.0,-0.005370159329274126,0.002278897985816002,0.019166666666666665,0.0,0.0,0.0,0.9460268326476214,-24.193199386596678,2.348283123150468,4.807729721069336,0.4999999046325684,4.807729721069336,5.845516681671143,0.4999999701976776,10,False,8,480,1,0.0,True,0.000995347072603181,0.00011144234667881392,0.0002408752843621187,2.499424845154863e-05,0.0,0.0,4.807729649543762,0.4999998867511749,0.0,0.0,0.0,5.284131646156311,0.0,1.0,0.09999999610707164,0.01786953322239309,0.0,0.0,0.0,0.009874974377453327,22.5,21.050819396972656,24.267641067504883,0.030127041041851044,0.00831019040197134,-0.014077328384155407,-0.013841051179527615,0.00023920740544175107,-0.013475969433784485,0.005900354124605656,0.00010724022286012769,0.006076753605157137,-0.06602005532689348,-0.017814304679632187,0.007131246384233236,-0.0013749775243923068,0.006965472362935543,0.0453588167013792,-0.011279317550361156,0.004731958732008934,0.0002212924009654671,0.00515007833018899,-0.19829139353402914,10
