available_migs,bandwidth_allocation_sum,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_load_cv,cluster_size_std,cluster_size_violation,compute_delay_ms,delay,delay_normalized,epoch,is_warmup,kl_normalized,kl_sum,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,penalty,physical_cluster_count,ppo_approx_kl,ppo_clip_fraction,ppo_entropy,ppo_grad_norm,ppo_grad_norm_post,ppo_grad_norm_pre,ppo_policy_loss,ppo_station_1_explained_variance,ppo_station_1_return_mean,ppo_station_1_return_std,ppo_station_2_explained_variance,ppo_station_2_return_mean,ppo_station_2_return_std,ppo_station_3_explained_variance,ppo_station_3_return_mean,ppo_station_3_return_std,ppo_value_clip_fraction,ppo_value_loss,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count,virtual_cluster_count
2,1.0,0.2721098929575579,0.0,0.15253339221676146,100000000.0,0.0,7.450580596923828e-09,0.4,2.0,0.0,542.3879000009038,1.1155116414449686,1.1155116414449686,1,True,0.14425292327151898,1.3286185229832541,0.15202826261520386,7,2.7,5.7,0.06812699884176254,2,7.450580596923828e-09,2,,,,,,,,,,,,,,,,,,,-0.6298822898088244,681574.4,6815744.0,1,,1115.5116414449685,0.00625,4.654792678356171,573.1237414440649,10,2
2,1.0,0.18134712370500428,0.0,0.09706026469081247,100000000.0,0.0,1.4901161193847656e-08,0.2,1.0,0.0,191.19829998817295,0.20571678455054793,0.20571678455054793,1,True,0.12763737602446681,1.1755836773712516,0.13763508200645447,6,2.0,5.4,0.07748182117938995,2,1.4901161193847656e-08,2,,,,,,,,,,,,,,,,,,,-0.16667709518866858,81920.0,819200.0,2,,205.7167845505479,0.0171875,4.598289442062378,35.86509439932494,10,2
2,1.0,0.17821394482941424,0.0,0.09340741436238693,100000000.0,0.0,0.0,0.0,0.0,0.0,161.49410005891696,0.1777606403218121,0.1777606403218121,1,True,0.12153353557794044,1.1193652292825087,0.12857423722743988,5,0.0,3.5,0.058203816413879395,2,0.0,2,,,,,,,,,,,,,,,,,,,-0.14964708794987627,49152.0,491520.0,3,,177.7606403218121,0.0171875,4.677355945110321,18.236740305601124,10,2
2,0.9999999403953552,0.21517572398431287,0.0,0.11680710161059393,100000000.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,164.1197000280954,0.2988691338770429,0.2988691338770429,2,True,0.13237480163651566,1.219216979745139,0.12093231081962585,5,1.5,5.0,0.06086895242333412,2,0.0,2,,,,,,,,,,,,,,,,,,,-0.21562196775677928,286720.0,2867200.0,1,,298.8691338770429,0.01875,4.498286068439484,134.7494338489475,10,2
2,1.0,0.22764483657073636,0.0,0.1244715352601759,100000000.0,0.0,1.1175870895385742e-08,0.6,3.0,0.0,267.99849997041747,0.612655717149968,0.612655717149968,2,True,0.15614673883516297,1.4381646126459229,0.13853734731674194,8,1.0,4.2,0.05852583423256874,2,1.1175870895385742e-08,2,,,,,,,,,,,,,,,,,,,-0.3844012391684364,1048576.0,10485760.0,2,,612.655717149968,0.021875,4.439075469970703,358.1220002731684,10,2
2,1.0,0.15321680739063392,0.0,0.08709342955589079,100000000.0,0.0,2.2351741790771484e-08,0.4,2.0,0.0,230.87579989805818,0.27423506414940496,0.27423506414940496,2,True,0.14242070855069822,1.3117432017699495,0.12010642141103745,7,3.5,6.0,0.07763182371854782,2,2.2351741790771484e-08,2,,,,,,,,,,,,,,,,,,,-0.20832790870179338,106496.0,1064960.0,3,,274.23506414940493,0.03125,4.421490633487702,43.35926425134679,10,2
2,1.0,0.18327769578578185,0.0,0.1019803046589999,100000000.0,0.0,2.9802322387695312e-08,0.4,2.0,0.0,227.9981000465341,0.2961479861991515,0.2961479861991515,3,True,0.1584679203442747,1.4595434844099793,0.12296384572982788,7,4.7,5.7,0.06871065497398376,2,2.9802322387695312e-08,2,,,,,,,,,,,,,,,,,,,-0.2273079830740355,170393.6,1703936.0,1,,296.1479861991515,0.0265625,4.385873794555664,104.97626122267708,10,2
2,1.0,0.2569882896513482,0.0,0.14368490343816437,100000000.0,0.0,0.0,0.4,2.0,0.0,226.419199956581,0.3154709930261246,0.3154709930261246,3,True,0.13951922783678553,1.2850195768120891,0.14641791582107544,7,4.0,5.0,0.054354652762413025,2,0.0,2,,,,,,,,,,,,,,,,,,,-0.22749511043145504,262144.0,2621440.0,2,,315.4709930261246,0.025,4.449071633815765,108.00965758511823,10,2
2,1.0,0.1308235644437205,0.0,0.071603826746202,100000000.0,0.0,3.725290298461914e-08,0.6,3.0,0.0,262.39339995663613,0.5740464334638673,0.5740464334638673,3,True,0.1748622216171216,1.6105405792936214,0.1167178824543953,8,2.2,3.4,0.07561855763196945,2,3.725290298461914e-08,2,,,,,,,,,,,,,,,,,,,-0.37445436479339744,943718.4,9437184.0,3,,574.0464334638673,0.0234375,4.551533555984497,311.65303350723116,10,2
2,1.0,0.17379247466599698,0.0,0.09756840769099581,100000000.0,0.0,1.4901161193847656e-08,0.0,0.0,0.0,158.65480003412813,0.2998202016929824,0.2998202016929824,4,True,0.126009083195041,1.1605865461869918,0.12367714941501617,5,3.5,4.5,0.06487248092889786,2,1.4901161193847656e-08,2,,,,,,,,,,,,,,,,,,,-0.2129146573451729,393216.0,3932160.0,1,,299.8202016929824,0.0265625,4.450987219810486,142.54090165521094,10,2
2,1.0,0.21892306278269902,0.0,0.11703194652450165,100000000.0,0.0,1.4901161193847656e-08,0.0,0.0,0.0,160.2354000788182,0.32944209341866904,0.32944209341866904,4,True,0.11927246153470537,1.0985399677380734,0.14916379749774933,5,4.0,5.5,0.07686880230903625,2,1.4901161193847656e-08,2,,,,,,,,,,,,,,,,,,,-0.2243572923778484,327680.0,3276800.0,2,,329.44209341866906,0.0234375,4.423640847206116,170.00689349578704,10,2
2,1.0,0.21153265663866308,0.0,0.11939168649197791,100000000.0,0.0,3.725290298461914e-08,0.4,2.0,0.0,227.89199999533594,0.3597816631307092,0.3597816631307092,4,True,0.15180060838087137,1.3981352718608857,0.13924579322338104,7,3.4,5.3,0.06259986013174057,2,3.725290298461914e-08,2,,,,,,,,,,,,,,,,,,,-0.25579117300869325,498073.6,4980736.0,3,,359.7816631307092,0.025,4.490344893932343,266.4125631206867,10,2
2,1.0000001192092896,0.16748742238332498,0.0,0.09066109556982167,100000000.0,-1.1920928955078125e-07,5.21540641784668e-08,0.6,3.0,0.0,264.1359000117518,0.3067589963180051,0.3067589963180051,5,True,0.16747125244132227,1.5424672375057256,0.1285768300294876,8,4.0,5.8,0.06412846595048904,2,5.21540641784668e-08,2,,,,,,,,,,,,,,,,,,,-0.23711517653372785,114688.0,1146880.0,1,,306.7589963180051,0.028125,4.426581335067749,42.623096306253295,10,2
2,1.0,0.25029709358156604,0.0,0.1376556740084412,100000000.0,0.0,3.725290298461914e-08,0.4,2.0,0.0,226.60240007098764,0.5145494763094514,0.5145494763094514,5,True,0.13055938248301827,1.2024963514236233,0.14153346419334412,7,3.4,5.3,0.07083836942911148,2,3.725290298461914e-08,2,,,,,,,,,,,,,,,,,,,-0.3225544666491378,498073.6,4980736.0,2,,514.5494763094514,0.0296875,4.45744286775589,420.4732763285331,10,2
2,1.0,0.19611692687620122,0.0,0.109013033517579,100000000.0,0.0,0.0,0.0,0.0,0.0,160.85220000240952,0.24118119276743447,0.24118119276743447,5,True,0.1220122875725898,1.1237746981069918,0.1300886869430542,5,2.0,5.0,0.06513649225234985,2,0.0,2,,,,,,,,,,,,,,,,,,,-0.18159674017001215,155648.0,1556480.0,3,,241.18119276743445,0.01875,4.434106409549713,82.56059281909903,10,2
2,1.0,0.20343968020538988,0.0,0.1103651506372135,100000000.0,0.0,2.2351741790771484e-08,0.4,2.0,0.0,227.1337999845855,0.31431085503159023,0.31431085503159023,6,False,0.1603316688535381,1.4767092425480586,0.1452539563179016,7,2.8,5.0,0.06846977770328522,2,2.2351741790771484e-08,2,,,,,,,,,,,,,,,,,,,-0.23732128429430596,198246.4,1982464.0,1,,314.3108550315902,0.0359375,4.383192193508148,87.17705504700476,10,2
2,1.0,0.207322280565327,0.0,0.11796594818012532,100000000.0,0.0,2.2351741790771484e-08,0.2,1.0,0.0,189.3817000091076,0.27052377546960327,0.27052377546960327,6,False,0.12008976926201317,1.1060676500952245,0.12850412726402283,6,3.6,5.0,0.06730277836322784,2,2.2351741790771484e-08,2,,,,,,,,,,,,,,,,,,,-0.19530679471755003,367001.6,3670016.0,2,,270.52377546960327,0.021875,4.387453842163086,142.69667266641267,10,2
2,1.0,0.21282564762504153,0.0,0.1210210795472321,100000000.0,0.0,2.2351741790771484e-08,0.4,2.0,0.0,228.105999995023,1.1358238784155807,1.1358238784155807,6,False,0.14850182936565487,1.3677523943188095,0.13455496728420258,7,2.0,3.0,0.07141102850437164,2,2.2351741790771484e-08,2,,,,,,,,,,,,,,,,,,,-0.6421628762423596,1048576.0,10485760.0,3,,1135.8238784155808,0.03125,4.5035345435142515,1037.5580783725716,10,2
2,1.0,0.11759128820575158,0.0,0.06146646824181524,100000000.0,0.0,2.2351741790771484e-08,0.6,3.0,0.0,265.3039000579156,0.9474007588777649,0.9474007588777649,7,False,0.17361800972460484,1.5990809642686816,0.11828365921974182,8,1.8,3.4,0.07325048744678497,2,2.2351741790771484e-08,2,,,,,,,,,,,,,,,,,,,-0.5605094066529266,1048576.0,10485760.0,1,,947.4007588777648,0.028125,4.343791508674622,874.9497588923158,10,2
