available_migs,bandwidth_allocation_sum,bandwidth_hz,bandwidth_unused,bandwidth_violation,cluster_size_violation,compute_delay_ms,delay,epoch,is_warmup,kl_sum,max_bandwidth_share,mean_l1,mean_l2,min_bandwidth_share,penalty,reward,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,station_id,test_accuracy,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,vehicle_count
2,1.0,100000000.0,0.0,8.195638656616211e-08,0.0,314.0554000856355,2.6871102634207378,1,True,1.4906858237123026,0.6345909833908081,3.4,5.4,0.010042905807495117,8.195638656616211e-08,-2.0888981255229067,498073.6,4980736.0,1,,2687.1102634207377,0.028125,4.587361752986908,2414.8426634231614,10
2,1.0,100000000.0,0.0,6.51925802230835e-09,0.0,227.63989999657497,3.231287647145248,1,True,1.2399082181696786,0.3761736750602722,1.7,4.1,0.010001599788665771,6.51925802230835e-09,-2.2355979391767216,1048576.0,10485760.0,2,,3231.2876471452482,0.01875,4.6642149686813354,3141.1212471331537,10
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,227.46710001956671,3.6092475922390292,1,True,1.1873657082290694,0.6264379024505615,2.4,4.0,0.010055124759674072,0.0,-2.3983066502340495,681574.4,6815744.0,3,,3609.2475922390295,0.0296875,4.5597719073295595,3519.7162922898715,10
2,1.0,100000000.0,0.0,3.725290298461914e-09,0.0,188.85439989389852,2.186687223561276,2,True,1.3915229180063657,0.742621660232544,3.4,4.4,0.01000356674194336,3.725290298461914e-09,-1.7891050745091113,419430.4,4194304.0,1,,2186.6872235612764,0.028125,4.451355290412903,1997.8328236673779,10
2,1.0,100000000.0,0.0,8.381903171539307e-09,0.0,227.64519997872412,0.9725906690042572,2,True,1.2750640937557072,0.7498099207878113,4.0,5.7,0.01002037525177002,8.381903171539307e-09,-1.1238273897618853,262144.0,2621440.0,2,,972.5906690042572,0.0203125,4.52146714925766,744.945469025533,10
2,1.0,100000000.0,0.0,5.21540641784668e-08,0.0,227.3642999934964,2.6901300751545953,2,True,1.25259672121255,0.8205335736274719,3.4,5.4,0.01000346802175045,5.21540641784668e-08,-1.9713634503376367,498073.6,4980736.0,3,,2690.1300751545955,0.03125,4.441501557826996,2599.6352752030384,10
2,1.0,100000000.0,0.0,2.2351741790771484e-08,0.0,293.0639000260271,2.9861625357762733,3,True,2.127558012528432,0.5716466903686523,2.0,5.0,0.010012984275817871,2.2351741790771484e-08,-2.5568602965040945,1048576.0,10485760.0,1,,2986.162535776273,0.0203125,4.411448669433594,2693.098635750246,10
2,0.9999999403953552,100000000.0,5.960464477539063e-08,0.0,0.0,330.029999895487,0.6801319867400886,3,True,0.23262930172816065,0.4331534802913666,5.0,6.0,0.010002315044403076,0.0,-0.4563806442341246,131072.0,1310720.0,2,,680.1319867400886,0.01875,4.4934539794921875,350.10198684460164,10
2,1.0,100000000.0,0.0,5.774199962615967e-08,0.0,263.8800000422634,1.627406402358087,3,True,1.6248645830697528,0.7067881226539612,3.0,4.0,0.010006487369537354,5.774199962615967e-08,-1.6261355504559196,524288.0,5242880.0,3,,1627.406402358087,0.0328125,4.405026435852051,1363.5264023158236,10
2,1.0,100000000.0,0.0,0.0,0.0,228.29220001585782,3.959591986622871,4,True,1.414110605450928,0.728196918964386,2.0,4.0,0.010003983974456787,0.0,-2.6868512960368998,1048576.0,10485760.0,1,,3959.591986622871,0.0390625,4.440757989883423,3731.299786607013,10
